algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,airline,10,23013804,HummingbirdPytorchGPU,100,13197,12745,587.5561237335205,31562.278032302856,5530.137300491333,2599.4181632995605,39691.83349609375
lightgbm,airline,10,23013804,HummingbirdTVMGPU,76,6515,6063,579.6079635620117,31896.58832550049,5776.4952182769775,2303.101062774658,39976.184606552124
lightgbm,airline,1600,100000,HummingbirdTVMGPU,97,3447,2995,1036.5796089172363,31670.554399490356,5505.541801452637,25699.785232543945,62875.88143348694
lightgbm,airline,500,100000,HummingbirdTVMGPU,84,1525,1073,713.0308151245117,31919.069051742554,5565.776109695435,8392.164945602417,45877.010107040405
lightgbm,airline,10,23013804,HummingbirdTorchScriptGPU,100,14953,14501,575.3984451293945,31798.8440990448,5597.43332862854,2754.1565895080566,40150.4340171814
lightgbm,airline,1600,10000,NvidiaFILGPU,84,1441,989,789.0844345092773,32438.124656677246,5732.318878173828,16654.303073883057,54824.74660873413
lightgbm,airline,500,100000,NvidiaFILGPU,75,1453,1001,647.078275680542,32753.031253814697,5479.451417922974,6870.684862136841,45103.16753387451
randomforest,airline,10,23013804,HummingbirdPytorchGPU,100,13197,12745,249.95708465576172,48970.20721435547,5503.473281860352,2640.110492706299,57113.79098892212
randomforest,airline,10,23013804,HummingbirdTVMGPU,80,6515,6063,40.48514366149902,32106.454133987427,5437.223672866821,2250.9214878082275,39794.599294662476
randomforest,airline,1600,10000,HummingbirdTVMGPU,91,993,541,612.666130065918,31984.694719314575,5736.808061599731,27714.139938354492,65435.6427192688
randomforest,airline,500,100000,HummingbirdTVMGPU,81,1527,1075,234.2832088470459,32883.827447891235,5414.0074253082275,8975.359916687012,47273.194789886475
randomforest,airline,10,23013804,HummingbirdTorchScriptGPU,100,14953,14501,40.30919075012207,32593.59335899353,5433.109998703003,2853.3363342285156,40880.03969192505
randomforest,airline,1600,10000,NvidiaFILGPU,91,1441,989,520.2574729919434,31919.986963272095,5535.378217697144,19724.051475524902,57179.41665649414
randomforest,airline,500,100000,NvidiaFILGPU,81,1451,999,188.46988677978516,32391.133546829224,5479.518413543701,7595.198154449463,45465.85011482239
xgboost,airline,10,23013804,HummingbirdPytorchGPU,100,13197,12745,231.80580139160156,32878.57484817505,5521.362066268921,2599.5335578918457,40999.470472335815
xgboost,airline,10,23013804,HummingbirdTVMGPU,80,6515,6063,228.28412055969238,31835.694074630737,5415.79008102417,2220.559597015381,39472.04375267029
xgboost,airline,1600,100000,HummingbirdTVMGPU,97,3447,2995,492.06995964050293,31882.853984832764,5590.540170669556,25591.512441635132,63064.90659713745
xgboost,airline,500,100000,HummingbirdTVMGPU,81,1525,1073,310.95409393310547,31685.924530029297,5530.545949935913,8254.437923431396,45470.90840339661
xgboost,airline,10,23013804,HummingbirdTorchScriptGPU,100,14953,14501,233.88195037841797,31779.216289520264,5553.111791610718,2749.9139308929443,40082.242012023926
xgboost,airline,1600,100000,NvidiaFILGPU,87,1499,1047,386.32774353027344,32716.339826583862,5584.9878787994385,8901.86882019043,47203.19652557373
xgboost,airline,500,100000,NvidiaFILGPU,70,1491,1039,267.72069931030273,32474.870204925537,5519.785642623901,4584.983348846436,42579.639196395874
xgboost,airline,1600,23013804,XGBoostGPU,100,3231,2779,379.09603118896484,32885.15543937683,5435.973644256592,14592.698574066162,52913.827657699585
xgboost,airline,500,23013804,XGBoostGPU,100,3231,2779,275.9518623352051,32570.55377960205,5475.951910018921,9211.535930633545,47258.04162025452
