algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,bosch,10,236750,HummingbirdPytorchGPU,74,2297,1845,695.411205291748,19463.016986846924,54.033517837524414,212.69774436950684,19729.748249053955
lightgbm,bosch,500,236750,HummingbirdPytorchGPU,100,7717,7265,722.1980094909668,19566.076278686523,54.94570732116699,684.6413612365723,20305.663347244263
lightgbm,bosch,10,1000,HummingbirdTVMGPU,32,647,195,698.0738639831543,19547.910451889038,55.33194541931152,746.3507652282715,20349.59316253662
lightgbm,bosch,1600,1000,HummingbirdTVMGPU,54,707,255,778.3021926879883,19521.841764450073,55.72843551635742,1092.0608043670654,20669.631004333496
lightgbm,bosch,500,10000,HummingbirdTVMGPU,73,907,455,673.243522644043,19271.4102268219,54.683685302734375,826.0648250579834,20152.158737182617
lightgbm,bosch,1600,1000,NvidiaFILGPU,45,1457,1005,736.663818359375,19665.85612297058,55.257320404052734,1573.408603668213,21294.522047042847
xgboost,bosch,10,236750,HummingbirdPytorchGPU,58,2297,1845,395.7371711730957,20974.133014678955,54.01468276977539,268.90063285827637,21297.048330307007
xgboost,bosch,500,236750,HummingbirdPytorchGPU,100,7717,7265,254.1368007659912,19497.31397628784,54.28123474121094,679.3839931488037,20230.979204177856
xgboost,bosch,10,1000,HummingbirdTVMGPU,25,647,195,230.05390167236328,19371.363401412964,54.9161434173584,846.7237949371338,20273.003339767456
xgboost,bosch,1600,1000,HummingbirdTVMGPU,54,707,255,305.73105812072754,19649.235486984253,56.195735931396484,1073.7881660461426,20779.219388961792
xgboost,bosch,500,1000,HummingbirdTVMGPU,73,665,213,243.85952949523926,19545.597076416016,55.30667304992676,989.7551536560059,20590.65890312195
xgboost,bosch,10,236750,NvidiaFILGPU,73,3233,2779,233.08396339416504,19263.468742370605,55.35626411437988,958.5835933685303,20277.408599853516
xgboost,bosch,1600,236750,NvidiaFILGPU,85,3241,2787,281.0189723968506,19753.766298294067,54.7785758972168,931.297779083252,20739.842653274536
xgboost,bosch,500,236750,NvidiaFILGPU,64,3233,2779,231.3370704650879,19551.857709884644,55.24301528930664,872.8783130645752,20479.979038238525
