algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,criteo,10,1000,NvidiaFILGPU,100,9077,8609,1208.27054977417,-1,2.892732620239258,67455.63411712646,67457.5268497467
lightgbm,criteo,10,100,NvidiaFILGPU,79,2199,1745,1163.4702682495117,-1,2.8820037841796875,64166.109800338745,64167.991804122925
lightgbm,criteo,10,10,NvidiaFILGPU,28,1509,1057,1184.4353675842285,-1,2.899169921875,65789.69740867615,65791.59657859802
lightgbm,criteo,10,1,NvidiaFILGPU,36,1439,987,1625.0982284545898,-1,2.7327537536621094,50909.68298912048,50911.415742874146
lightgbm,criteo,1600,1000,NvidiaFILGPU,100,9091,8623,1319.2825317382812,-1,2.8181076049804688,67206.19630813599,67208.01441574097
lightgbm,criteo,1600,100,NvidiaFILGPU,73,2211,1757,1332.1304321289062,-1,2.795696258544922,64745.08714675903,64746.88284301758
lightgbm,criteo,1600,10,NvidiaFILGPU,28,1525,1073,1306.7469596862793,-1,2.828359603881836,66633.18109512329,66635.00945472717
lightgbm,criteo,1600,1,NvidiaFILGPU,37,1453,1001,1490.3206825256348,-1,2.837657928466797,54643.160581588745,54644.99823951721
lightgbm,criteo,500,1000,NvidiaFILGPU,100,9085,8617,1242.5658702850342,-1,2.8302669525146484,66848.91200065613,66850.74226760864
lightgbm,criteo,500,100,NvidiaFILGPU,75,2201,1747,1211.73095703125,-1,2.8977394104003906,64778.4640789032,64780.3618183136
lightgbm,criteo,500,10,NvidiaFILGPU,29,1515,1063,1189.8829936981201,-1,2.955913543701172,66805.86791038513,66807.82382392883
lightgbm,criteo,500,1,NvidiaFILGPU,36,1443,991,1347.0828533172607,-1,2.9294490814208984,53097.57351875305,53099.50296783447
randomforest,criteo,10,1000,NvidiaFILGPU,100,9077,8609,41.64862632751465,-1,2.8574466705322266,67578.41944694519,67580.27689361572
randomforest,criteo,10,100,NvidiaFILGPU,79,2197,1743,39.64495658874512,-1,2.7196407318115234,64889.06717300415,64890.78681373596
randomforest,criteo,10,10,NvidiaFILGPU,28,1509,1057,41.39113426208496,-1,2.7284622192382812,66242.40183830261,66244.13030052185
randomforest,criteo,10,1,NvidiaFILGPU,36,1441,989,195.69158554077148,-1,2.8510093688964844,50754.88042831421,50756.731437683105
randomforest,criteo,1600,1000,NvidiaFILGPU,100,9091,8623,463.1509780883789,-1,2.721548080444336,67321.92587852478,67323.64742660522
randomforest,criteo,1600,100,NvidiaFILGPU,78,2215,1761,459.2761993408203,-1,2.911090850830078,65165.7657623291,65167.67685317993
randomforest,criteo,1600,10,NvidiaFILGPU,27,1523,1071,464.21003341674805,-1,2.7892589569091797,67530.0281047821,67531.81736373901
randomforest,criteo,1600,1,NvidiaFILGPU,36,1455,1003,485.57257652282715,-1,2.8200149536132812,54887.34412193298,54889.1641368866
randomforest,criteo,500,1000,NvidiaFILGPU,100,9081,8613,197.44205474853516,-1,2.7379989624023438,67292.58370399475,67294.32170295715
randomforest,criteo,500,100,NvidiaFILGPU,73,2201,1747,189.7599697113037,-1,2.7337074279785156,65329.79941368103,65331.53312110901
randomforest,criteo,500,10,NvidiaFILGPU,27,1513,1061,189.46290016174316,-1,2.7709007263183594,67493.62325668335,67495.39415740967
randomforest,criteo,500,1,NvidiaFILGPU,36,1443,991,190.53220748901367,-1,2.553224563598633,55214.83850479126,55216.39172935486
xgboost,criteo,10,1000,NvidiaFILGPU,100,5307,4847,383.5263252258301,-1,2.6721954345703125,27397.754192352295,27399.426387786865
xgboost,criteo,10,100,NvidiaFILGPU,40,1865,1413,388.9153003692627,-1,2.740144729614258,26167.718648910522,26169.458793640137
xgboost,criteo,10,10,NvidiaFILGPU,32,1523,1071,379.48036193847656,-1,2.7098655700683594,27239.450454711914,27241.160320281982
xgboost,criteo,10,1,NvidiaFILGPU,31,1487,1035,597.3951816558838,-1,2.7871131896972656,28726.815700531006,28728.602813720703
xgboost,criteo,1600,1000,NvidiaFILGPU,100,5315,4855,539.2746925354004,-1,2.688884735107422,27566.33162498474,27568.02050971985
xgboost,criteo,1600,100,NvidiaFILGPU,40,1873,1421,484.0531349182129,-1,2.6869773864746094,26279.00505065918,26280.692028045654
xgboost,criteo,1600,10,NvidiaFILGPU,33,1531,1079,463.7138843536377,-1,2.7399063110351562,28324.31721687317,28326.057123184204
xgboost,criteo,1600,1,NvidiaFILGPU,34,1495,1043,580.6055068969727,-1,2.7735233306884766,30045.74680328369,30047.52032661438
xgboost,criteo,500,1000,NvidiaFILGPU,100,5307,4847,419.4226264953613,-1,2.691507339477539,27562.846183776855,27564.537691116333
xgboost,criteo,500,100,NvidiaFILGPU,40,1871,1419,403.84674072265625,-1,2.743959426879883,26152.35161781311,26154.09557723999
xgboost,criteo,500,10,NvidiaFILGPU,32,1523,1071,401.33094787597656,-1,2.754688262939453,27225.502490997314,27227.257179260254
xgboost,criteo,500,1,NvidiaFILGPU,31,1487,1035,453.6757469177246,-1,2.8557777404785156,28339.864253997803,28341.72003173828
