algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,epsilon,10,100000,HummingbirdPytorchGPU,62,2123,1671,585.4661464691162,124810.66370010376,23.607730865478516,176.7737865447998,125011.04521751404
lightgbm,epsilon,1600,100000,HummingbirdPytorchGPU,100,9575,9123,843.0345058441162,130098.38724136353,23.769378662109375,804.3351173400879,130926.49173736572
lightgbm,epsilon,500,100000,HummingbirdPytorchGPU,94,4407,3955,675.1644611358643,135291.0544872284,24.445533752441406,388.0751132965088,135703.57513427734
lightgbm,epsilon,10,1000,HummingbirdTVMGPU,33,655,203,570.1463222503662,129546.05293273926,23.98967742919922,494.54283714294434,130064.5854473114
lightgbm,epsilon,500,100000,HummingbirdTVMGPU,75,2925,2473,624.9454021453857,133759.62138175964,24.63388442993164,685.3840351104736,134469.63930130005
lightgbm,epsilon,1600,1000,NvidiaFILGPU,78,1473,1021,695.3465938568115,124428.63321304321,23.98371696472168,1138.4468078613281,125591.06373786926
lightgbm,epsilon,500,1000,NvidiaFILGPU,46,1465,1013,597.6555347442627,124304.42929267883,24.383544921875,1032.53173828125,125361.34457588196
randomforest,epsilon,10,100000,HummingbirdPytorchGPU,59,2123,1671,246.1531162261963,126289.99352455139,23.9408016204834,227.17523574829102,126541.10956192017
randomforest,epsilon,1600,100000,HummingbirdPytorchGPU,100,9575,9123,553.1508922576904,122900.55704116821,23.84471893310547,830.6229114532471,123755.02467155457
randomforest,epsilon,500,100000,HummingbirdPytorchGPU,87,4409,3957,206.30216598510742,127009.03058052063,24.04165267944336,375.1084804534912,127408.18071365356
randomforest,epsilon,10,1000,HummingbirdTVMGPU,32,655,195,36.9572639465332,134054.8450946808,24.017810821533203,503.37672233581543,134582.23962783813
randomforest,epsilon,1600,10000,HummingbirdTVMGPU,93,1121,669,451.28774642944336,125695.22380828857,24.39403533935547,2582.8628540039062,128302.48069763184
randomforest,epsilon,500,100000,HummingbirdTVMGPU,81,2925,2473,165.42410850524902,125329.04076576233,24.165630340576172,696.4211463928223,126049.62754249573
xgboost,epsilon,10,100000,HummingbirdPytorchGPU,50,2123,1671,232.4984073638916,125183.9952468872,24.164676666259766,185.0721836090088,125393.23210716248
xgboost,epsilon,1600,100000,HummingbirdPytorchGPU,100,9575,9123,387.62927055358887,125297.6450920105,24.05405044555664,803.6704063415527,126125.36954879761
xgboost,epsilon,500,100000,HummingbirdPytorchGPU,89,4407,3955,280.29823303222656,126879.75001335144,23.946762084960938,386.0890865325928,127289.785861969
xgboost,epsilon,10,100000,HummingbirdTVMGPU,62,2175,1723,224.0164279937744,125988.30223083496,24.157285690307617,630.4850578308105,126642.94457435608
xgboost,epsilon,1600,10000,HummingbirdTVMGPU,53,1119,667,293.623685836792,123410.52961349487,24.12867546081543,701.714277267456,124136.37256622314
xgboost,epsilon,500,100,HummingbirdTVMGPU,9,635,183,249.3598461151123,123899.03378486633,24.624347686767578,2865.7331466674805,126789.39127922058
xgboost,epsilon,1600,1000,NvidiaFILGPU,37,1503,1051,305.70507049560547,123800.66680908203,23.540258407592773,821.2089538574219,124645.41602134705
xgboost,epsilon,500,100000,NvidiaFILGPU,52,3009,2555,256.00433349609375,132450.06489753723,24.461746215820312,940.5126571655273,133415.03930091858
