algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,fraud,10,56962,HummingbirdPytorchGPU,8,1339,887,595.9832668304443,836.9982242584229,13.262033462524414,7.706642150878906,857.9668998718262
lightgbm,fraud,500,56962,HummingbirdPytorchGPU,53,2659,2207,604.8610210418701,847.5706577301025,13.591289520263672,106.69279098510742,967.8547382354736
lightgbm,fraud,10,56962,HummingbirdTVMGPU,9,659,207,590.3966426849365,850.7895469665527,13.590574264526367,8.109092712402344,872.4892139434814
lightgbm,fraud,1600,56962,HummingbirdTVMGPU,60,2045,1593,634.9227428436279,832.3688507080078,13.721466064453125,90.4545783996582,936.5448951721191
lightgbm,fraud,500,56962,HummingbirdTVMGPU,25,1085,633,594.8505401611328,851.616382598877,13.61703872680664,25.772809982299805,891.0062313079834
lightgbm,fraud,10,10000,NvidiaFILGPU,8,1435,983,594.642162322998,867.4120903015137,14.06097412109375,122.2677230834961,1003.7407875061035
lightgbm,fraud,1600,56962,NvidiaFILGPU,33,1469,1017,646.8961238861084,855.9041023254395,14.142036437988281,180.59706687927246,1050.6432056427002
lightgbm,fraud,500,10000,NvidiaFILGPU,11,1439,987,594.0115451812744,827.4033069610596,13.884544372558594,132.5671672821045,973.8550186157227
randomforest,fraud,10,56962,HummingbirdPytorchGPU,6,1339,887,182.93309211730957,1650.0213146209717,13.20958137512207,57.108402252197266,1720.339298248291
randomforest,fraud,500,56962,HummingbirdPytorchGPU,53,2659,2207,153.6405086517334,860.623836517334,13.300418853759766,108.31522941589355,982.2394847869873
randomforest,fraud,10,56962,HummingbirdTVMGPU,7,659,207,38.440704345703125,827.0313739776611,13.66567611694336,8.034467697143555,848.731517791748
randomforest,fraud,1600,56962,HummingbirdTVMGPU,33,2047,1595,409.2724323272705,832.4069976806641,13.891220092773438,104.37250137329102,950.6707191467285
randomforest,fraud,500,56962,HummingbirdTVMGPU,16,1085,633,152.9707908630371,839.8594856262207,13.634204864501953,27.14991569519043,880.6436061859131
randomforest,fraud,10,56962,NvidiaFILGPU,5,1455,1003,37.950992584228516,837.937593460083,13.704538345336914,284.4386100769043,1136.0807418823242
randomforest,fraud,1600,56962,NvidiaFILGPU,37,1469,1017,397.4430561065674,861.196756362915,14.104604721069336,188.90857696533203,1064.2099380493164
randomforest,fraud,500,10000,NvidiaFILGPU,9,1441,989,152.968168258667,834.1701030731201,14.484643936157227,140.42997360229492,989.0847206115723
xgboost,fraud,10,56962,HummingbirdPytorchGPU,7,1339,887,143.19992065429688,827.9316425323486,13.074636459350586,12.19487190246582,853.201150894165
xgboost,fraud,500,56962,HummingbirdPytorchGPU,54,2659,2207,249.95160102844238,837.6772403717041,13.658523559570312,109.9538803100586,961.289644241333
xgboost,fraud,10,56962,HummingbirdTVMGPU,7,659,207,129.50897216796875,842.5703048706055,14.037370681762695,7.699012756347656,864.3066883087158
xgboost,fraud,1600,56962,HummingbirdTVMGPU,39,2045,1593,141.22700691223145,858.3178520202637,13.699531555175781,108.31475257873535,980.3321361541748
xgboost,fraud,500,56962,HummingbirdTVMGPU,19,1085,633,136.5652084350586,870.2182769775391,14.304399490356445,30.059337615966797,914.5820140838623
xgboost,fraud,10,56962,NvidiaFILGPU,11,1495,1043,237.94293403625488,846.879243850708,13.336896896362305,115.17643928527832,975.3925800323486
xgboost,fraud,1600,56962,NvidiaFILGPU,8,1503,1051,185.73713302612305,851.0386943817139,13.745784759521484,120.10979652404785,984.8942756652832
xgboost,fraud,500,56962,NvidiaFILGPU,9,1495,1043,144.75727081298828,870.3432083129883,13.46731185913086,122.6048469543457,1006.4153671264648
