algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,higgs,10,2200000,HummingbirdPytorchGPU,43,2565,2113,694.1452026367188,5062.363624572754,519.3755626678467,266.71385765075684,5848.453044891357
lightgbm,higgs,10,100000,HummingbirdTVMGPU,44,683,231,684.7109794616699,5059.758424758911,517.2243118286133,278.69296073913574,5855.67569732666
lightgbm,higgs,1600,10000,HummingbirdTVMGPU,93,889,437,974.8103618621826,5035.818338394165,525.7546901702881,2710.2816104888916,8271.854639053345
lightgbm,higgs,500,100000,HummingbirdTVMGPU,77,1421,981,785.4535579681396,5043.118715286255,531.851053237915,851.9484996795654,6426.918268203735
lightgbm,higgs,1600,10000,NvidiaFILGPU,85,1449,997,861.4134788513184,5049.150466918945,522.7396488189697,2555.586338043213,8127.476453781128
lightgbm,higgs,500,100000,NvidiaFILGPU,74,1475,1023,741.1134243011475,5041.12982749939,522.7341651916504,1057.699203491211,6621.563196182251
randomforest,higgs,10,2200000,HummingbirdPytorchGPU,36,2565,2113,175.27127265930176,7711.712598800659,528.3582210540771,299.0694046020508,8539.140224456787
randomforest,higgs,10,2200000,HummingbirdTVMGPU,33,1449,997,39.347171783447266,5057.58810043335,528.8867950439453,304.6863079071045,5891.161203384399
randomforest,higgs,1600,100000,HummingbirdTVMGPU,96,3119,2655,604.9292087554932,5068.565368652344,535.9175205230713,3468.2488441467285,9072.731733322144
randomforest,higgs,500,100000,HummingbirdTVMGPU,82,1421,981,200.99186897277832,5030.840158462524,517.5707340240479,957.7155113220215,6506.126403808594
randomforest,higgs,1600,100000,NvidiaFILGPU,94,1485,1033,519.1612243652344,5029.890060424805,538.0017757415771,3568.1910514831543,9136.082887649536
randomforest,higgs,500,100000,NvidiaFILGPU,68,1475,1023,182.6038360595703,5014.10174369812,587.9194736480713,1173.5143661499023,6775.535583496094
xgboost,higgs,10,2200000,HummingbirdPytorchGPU,66,2565,2113,226.32288932800293,5061.126708984375,517.4741744995117,268.3684825897217,5846.969366073608
xgboost,higgs,10,100000,HummingbirdTVMGPU,20,671,231,241.0719394683838,5310.996532440186,519.5598602294922,282.92322158813477,6113.4796142578125
xgboost,higgs,1600,100000,HummingbirdTVMGPU,96,3117,2665,456.8343162536621,5082.576036453247,518.6765193939209,2551.8417358398438,8153.094291687012
xgboost,higgs,500,100000,HummingbirdTVMGPU,78,1433,981,289.2420291900635,5044.598817825317,525.7000923156738,867.5806522369385,6437.87956237793
xgboost,higgs,1600,10000,NvidiaFILGPU,71,1489,1037,358.9944839477539,5024.80411529541,521.6946601867676,1337.0871543884277,6883.5859298706055
xgboost,higgs,500,2200000,NvidiaFILGPU,100,1951,1499,282.40346908569336,5014.257431030273,530.9231281280518,710.0529670715332,6255.233526229858
