algo,lightgbm
dataset,fraud
trees,10
batch_size,56962
framework,HummingbirdPytorchGPU
max_gpu_usage,21
max_mem_usage,1339
max_pyt_usage,887

gpu_usage,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,5,5,5,5,5,5,4,4,6,6,6,6,5,5,5,5,4,4,8,8,5,5,5,5,2,2,0,0,0,0
mem_usage,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,450,454,462,553,599,629,653,677,705,739,771,801,823,849,883,903,937,965,991,1023,1053,1071,1107,1109,1157,1169,1195,1219,1255,1279,1339,1339,1339,1339,1339,1339,1339,1339
pyt_usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,101,147,179,205,227,255,287,319,351,371,401,431,451,485,515,539,573,605,619,655,657,705,719,747,767,803,827,887,887,887,887,887,887,887,887
max_usage,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360



algo,lightgbm
dataset,fraud
trees,500
batch_size,56962
framework,HummingbirdPytorchGPU
max_gpu_usage,53
max_mem_usage,2659
max_pyt_usage,2207

gpu_usage,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,5,5,5,5,1,1,9,9,4,4,5,5,6,6,5,5,5,5,5,5,7,7,5,5,5,53,53,0,0,0,0
mem_usage,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,450,454,462,485,597,627,649,679,707,737,739,785,803,833,867,889,913,945,975,999,1031,1061,1089,1111,1143,1169,1199,1227,1259,1285,2659,2659,2659,2659,2659,2659,2659,2659
pyt_usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97,145,177,201,227,257,285,287,333,353,381,415,437,461,495,523,551,579,609,639,663,691,719,749,775,807,833,2207,2207,2207,2207,2207,2207,2207,2207
