algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,tpcxai,10,1000000,HummingbirdPytorchGPU,100,1619,1167,592.6904678344727,62155.959606170654,6321.940183639526,2204.2617797851562,70682.16156959534
lightgbm,tpcxai,1600,10000,HummingbirdTVMGPU,94,963,511,816.2591457366943,62382.086753845215,6321.76947593689,29307.01208114624,98010.86831092834
lightgbm,tpcxai,500,100000,HummingbirdTVMGPU,89,1511,1059,654.2186737060547,62183.50291252136,6405.365705490112,9347.330570220947,77936.19918823242
lightgbm,tpcxai,10,131564160,HummingbirdTorchScriptGPU,98,10607,10155,584.5415592193604,62444.25940513611,6200.886249542236,2372.344970703125,71017.49062538147
lightgbm,tpcxai,1600,10000,NvidiaFILGPU,88,1441,989,711.3592624664307,62176.43404006958,6163.035154342651,17914.247512817383,86253.71670722961
lightgbm,tpcxai,500,100000,NvidiaFILGPU,79,1443,991,620.553731918335,62036.70954704285,6270.084381103516,6207.714080810547,74514.50800895691
randomforest,tpcxai,10,1000000,HummingbirdPytorchGPU,39,1825,1373,177.11734771728516,78178.66039276123,5928.813934326172,2327.004909515381,86434.47923660278
randomforest,tpcxai,10,1000000,HummingbirdTVMGPU,28,843,391,39.53075408935547,61843.48940849304,6078.235387802124,2143.4805393218994,70065.20533561707
randomforest,tpcxai,1600,10000,HummingbirdTVMGPU,92,969,517,489.09950256347656,62020.384073257446,6365.009307861328,31167.650938034058,99553.04431915283
randomforest,tpcxai,500,100000,HummingbirdTVMGPU,100,1513,1061,178.97796630859375,61995.15724182129,6267.131328582764,9983.49642753601,78245.78499794006
randomforest,tpcxai,1600,100000,NvidiaFILGPU,97,1453,1001,469.1967964172363,61712.810039520264,6152.649641036987,17229.50291633606,85094.96259689331
randomforest,tpcxai,500,100000,NvidiaFILGPU,78,1455,1003,171.7681884765625,61869.794607162476,6141.710519790649,6703.990936279297,74715.49606323242
xgboost,tpcxai,10,1000000,HummingbirdPytorchGPU,27,1725,1273,239.35699462890625,62262.88080215454,6024.067163467407,2799.3664741516113,71086.31443977356
xgboost,tpcxai,1600,10000,HummingbirdTVMGPU,94,963,511,381.6642761230469,62798.15196990967,6142.00496673584,29257.444620132446,98197.60155677795
xgboost,tpcxai,500,100000,HummingbirdTVMGPU,82,1511,1059,288.9554500579834,62202.59237289429,6408.55073928833,9301.669120788574,77912.81223297119
xgboost,tpcxai,10,131564160,HummingbirdTorchScriptGPU,100,13871,13419,233.9498996734619,62188.85540962219,6170.1977252960205,2568.352699279785,70927.405834198
xgboost,tpcxai,1600,100000,NvidiaFILGPU,85,1495,1043,319.232702255249,61965.004205703735,6080.89804649353,9349.795579910278,77395.69783210754
xgboost,tpcxai,500,100000,NvidiaFILGPU,63,1487,1035,263.9431953430176,61810.90712547302,6090.397119522095,4455.969572067261,72357.27381706238
xgboost,tpcxai,500,131564160,XGBoostGPU,100,2407,1955,258.4798336029053,61961.15970611572,6531.174898147583,8653.460025787354,77145.79463005066
