algo,dataset,trees,batch_size,framework,max_gpu_usage,max_mem_usage,max_pyt_usage,model_load,read,write,infer,paper time
lightgbm,year,10,103069,HummingbirdPytorchGPU,22,1395,943,577.3069858551025,3694.98610496521,25.65765380859375,18.022775650024414,3738.666534423828
lightgbm,year,500,103069,HummingbirdPytorchGPU,69,3753,3301,666.3539409637451,3731.3601970672607,25.922298431396484,202.75187492370605,3960.0343704223633
lightgbm,year,10,10000,HummingbirdTVMGPU,20,643,191,586.6854190826416,3715.0001525878906,25.88939666748047,41.62716865539551,3782.5167179107666
lightgbm,year,1600,10000,HummingbirdTVMGPU,75,981,529,809.9067211151123,3667.4106121063232,25.95686912536621,243.9584732055664,3937.325954437256
lightgbm,year,500,103069,HummingbirdTVMGPU,30,1493,1041,622.9345798492432,3874.108076095581,25.892972946166992,93.19281578063965,3993.1938648223877
lightgbm,year,10,10000,NvidiaFILGPU,14,1443,991,566.8730735778809,3679.6820163726807,24.405717849731445,161.6952419281006,3865.7829761505127
lightgbm,year,1600,10000,NvidiaFILGPU,74,1457,1005,721.6675281524658,3717.4088954925537,24.826765060424805,324.6288299560547,4066.864490509033
lightgbm,year,500,10000,NvidiaFILGPU,32,1447,995,640.3064727783203,3681.21337890625,24.713754653930664,205.38854598999023,3911.315679550171
randomforest,year,10,103069,HummingbirdPytorchGPU,6,1395,943,192.74401664733887,4696.067810058594,25.154829025268555,55.95827102661133,4777.180910110474
randomforest,year,500,103069,HummingbirdPytorchGPU,97,3753,3301,183.91847610473633,3708.893299102783,25.452136993408203,203.6762237548828,3938.021659851074
randomforest,year,10,10000,HummingbirdTVMGPU,20,643,191,39.489030838012695,3659.8918437957764,25.83169937133789,41.156768798828125,3726.8803119659424
randomforest,year,1600,103069,HummingbirdTVMGPU,87,3229,2777,504.05287742614746,3758.1212520599365,26.514530181884766,244.81630325317383,4029.452085494995
randomforest,year,500,103069,HummingbirdTVMGPU,43,1493,1041,161.38219833374023,3661.1220836639404,25.943756103515625,77.93235778808594,3764.998197555542
randomforest,year,10,10000,NvidiaFILGPU,13,1443,991,39.60013389587402,3639.68563079834,24.4596004486084,322.44133949279785,3986.586570739746
randomforest,year,1600,10000,NvidiaFILGPU,39,1457,1005,432.93237686157227,3657.6969623565674,24.849414825439453,246.89722061157227,3929.443597793579
randomforest,year,500,10000,NvidiaFILGPU,25,1447,995,162.54591941833496,3740.3464317321777,25.330543518066406,187.4701976776123,3953.1471729278564
xgboost,year,10,103069,HummingbirdPytorchGPU,21,1395,943,239.86506462097168,3641.812801361084,25.19369125366211,17.73381233215332,3684.7403049468994
xgboost,year,500,103069,HummingbirdPytorchGPU,65,3753,3301,313.1840229034424,3726.2487411499023,25.468826293945312,202.47960090637207,3954.1971683502197
xgboost,year,10,10000,HummingbirdTVMGPU,7,643,191,230.55148124694824,3682.1506023406982,26.39603614807129,44.767141342163086,3753.3137798309326
xgboost,year,1600,10000,HummingbirdTVMGPU,58,981,525,452.3947238922119,3649.4946479797363,26.206254959106445,211.49492263793945,3887.195825576782
xgboost,year,500,103069,HummingbirdTVMGPU,23,1493,1041,206.08234405517578,3749.4122982025146,25.84385871887207,75.87361335754395,3851.1297702789307
xgboost,year,10,100000,NvidiaFILGPU,10,1551,1099,222.3379611968994,3670.813798904419,24.29032325744629,181.93674087524414,3877.0408630371094
xgboost,year,1600,103069,NvidiaFILGPU,40,1561,1109,368.100643157959,3648.6594676971436,24.511337280273438,225.4173755645752,3898.588180541992
xgboost,year,500,103069,NvidiaFILGPU,19,1551,1099,265.51032066345215,3699.833869934082,24.1544246673584,169.06261444091797,3893.0509090423584
