query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,HummingbirdPytorchGPU,31553.77507209778,223.50168228149414,207303.0240535736,5614.868402481079,9350.778341293335,222268.74375343323
1000,1000,randomforest,HummingbirdPytorchGPU,31427.337646484375,40.572166442871094,23365.667581558228,5441.860198974609,4058.7451457977295,32866.34635925293
10000,10000,randomforest,HummingbirdPytorchGPU,31542.036771774292,39.92867469787598,4759.491682052612,5510.056257247925,4068.2830810546875,14337.902545928955
100000,100000,randomforest,HummingbirdPytorchGPU,32752.628326416016,39.61539268493652,2673.4278202056885,5383.842706680298,4054.574728012085,12111.921072006226
1000000,1000000,randomforest,HummingbirdPytorchGPU,32329.450368881226,39.91341590881348,2724.6015071868896,5318.988084793091,4035.950183868408,12079.62679862976
23013804,23013804,randomforest,HummingbirdPytorchGPU,32594.051837921143,39.815425872802734,2623.5454082489014,5586.762189865112,4052.1764755249023,12263.015985488892
100,100,randomforest,HummingbirdTorchScriptGPU,32835.561752319336,39.68501091003418,132078.28187942505,5542.34504699707,3419.0280437469482,141039.73269462585
1000,1000,randomforest,HummingbirdTorchScriptGPU,32322.335243225098,39.75081443786621,16123.86965751648,5421.783685684204,3357.975959777832,24903.704166412354
10000,10000,randomforest,HummingbirdTorchScriptGPU,32907.36103057861,39.772748947143555,3783.7305068969727,5688.653230667114,3306.7638874053955,12779.21986579895
100000,100000,randomforest,HummingbirdTorchScriptGPU,31545.44448852539,40.03620147705078,2892.7435874938965,5549.743413925171,3347.700834274292,11790.275573730469
1000000,1000000,randomforest,HummingbirdTorchScriptGPU,31376.43527984619,39.83902931213379,2951.235055923462,5480.981111526489,3542.282819747925,11974.575519561768
23013804,23013804,randomforest,HummingbirdTorchScriptGPU,31737.983465194702,40.12703895568848,2607.8197956085205,5489.656209945679,9849.560260772705,17955.403327941895
100,100,randomforest,ONNXGPU,31813.202619552612,40.277957916259766,26857.974529266357,5584.830760955811,4509.427547454834,36952.29697227478
1000,1000,randomforest,ONNXGPU,32128.162384033203,39.986610412597656,13436.756134033203,5343.595266342163,1352.55765914917,20132.972717285156
10000,10000,randomforest,ONNXGPU,31733.041524887085,39.82686996459961,11431.452989578247,5300.857305526733,1349.9090671539307,18082.279682159424
100000,100000,randomforest,ONNXGPU,32822.322845458984,39.89434242248535,9557.098150253296,5315.716028213501,1341.9995307922363,16214.874029159546
1000000,1000000,randomforest,ONNXGPU,32355.30710220337,39.74437713623047,13677.372217178345,5345.848560333252,1354.0902137756348,20377.3775100708
23013804,23013804,randomforest,ONNXGPU,32442.859411239624,39.73746299743652,13998.090982437134,5289.581298828125,1345.1299667358398,20632.87353515625
100,100,randomforest,HummingbirdTVMGPU,31677.829027175903,39.592742919921875,66315.49429893494,5545.598268508911,13297.186613082886,85158.36501121521
1000,1000,randomforest,HummingbirdTVMGPU,31598.22702407837,40.37046432495117,8628.732204437256,5573.988676071167,28276.565074920654,42479.36916351318
10000,10000,randomforest,HummingbirdTVMGPU,31434.34739112854,39.84642028808594,3278.9764404296875,5595.041036605835,28344.639539718628,37218.74642372131
100000,100000,randomforest,HummingbirdTVMGPU,31722.00655937195,40.36855697631836,2376.6727447509766,5390.254974365234,27187.578439712524,34954.58936691284
1000000,1000000,randomforest,HummingbirdTVMGPU,31593.72854232788,40.15803337097168,2422.175884246826,5496.466875076294,33240.591049194336,41159.31677818298
23013804,23013804,randomforest,HummingbirdTVMGPU,31567.81244277954,39.673805236816406,2254.7552585601807,5419.310808181763,150920.227766037,158594.69652175903
100,100,randomforest,NvidiaFILGPU,31675.959825515747,39.97159004211426,117227.74529457092,5566.251277923584,7251.060247421265,130045.1250076294
1000,1000,randomforest,NvidiaFILGPU,32317.29793548584,39.548397064208984,15729.90369796753,5453.916072845459,2514.1990184783936,23698.088884353638
10000,10000,randomforest,NvidiaFILGPU,31505.22470474243,40.199995040893555,4951.624870300293,5427.976846694946,2499.481439590454,12879.15301322937
100000,100000,randomforest,NvidiaFILGPU,31906.254768371582,39.92605209350586,3694.5340633392334,5368.261337280273,2493.7586784362793,11556.623458862305
1000000,1000000,randomforest,NvidiaFILGPU,31669.90065574646,40.434837341308594,4450.223445892334,5434.346675872803,2461.3726139068604,12346.012592315674
23013804,23013804,randomforest,NvidiaFILGPU,31690.030574798584,40.02070426940918,5433.533191680908,5565.102577209473,2465.7907485961914,13464.921236038208
100,100,xgboost,HummingbirdPytorchGPU,31495.763063430786,213.515043258667,217876.1157989502,5371.461629867554,4304.351329803467,227552.00219154358
1000,1000,xgboost,HummingbirdPytorchGPU,31583.778142929077,210.2069854736328,24301.628589630127,5428.369522094727,4309.827089309692,34039.89672660828
10000,10000,xgboost,HummingbirdPytorchGPU,31542.59729385376,209.60712432861328,4886.954784393311,5427.156209945679,4326.673746109009,14640.85841178894
100000,100000,xgboost,HummingbirdPytorchGPU,32580.204486846924,209.78951454162598,2658.75506401062,5382.298231124878,4332.146883010864,12373.273611068726
1000000,1000000,xgboost,HummingbirdPytorchGPU,32795.79424858093,210.38103103637695,2736.5007400512695,5510.42103767395,4331.534385681152,12578.53364944458
23013804,23013804,xgboost,HummingbirdPytorchGPU,32325.0253200531,209.14101600646973,2607.2981357574463,5448.086261749268,4301.747560501099,12357.66077041626
100,100,xgboost,HummingbirdTorchScriptGPU,31490.898609161377,218.47128868103027,143397.14789390564,5762.261390686035,3576.784133911133,152736.27829551697
1000,1000,xgboost,HummingbirdTorchScriptGPU,32263.56291770935,209.03348922729492,17233.86001586914,5511.007308959961,3582.9100608825684,26327.84914970398
10000,10000,xgboost,HummingbirdTorchScriptGPU,31692.75140762329,209.14340019226074,4643.882274627686,5830.878019332886,3576.371908187866,14051.2113571167
100000,100000,xgboost,HummingbirdTorchScriptGPU,31726.03130340576,211.1186981201172,3240.626335144043,5523.738384246826,3601.9692420959473,12366.403102874756
1000000,1000000,xgboost,HummingbirdTorchScriptGPU,31489.337921142578,208.18400382995605,3291.9299602508545,5521.294116973877,3838.6361598968506,12651.931524276733
23013804,23013804,xgboost,HummingbirdTorchScriptGPU,31422.83010482788,209.0165615081787,2749.8481273651123,5582.056760787964,9994.610071182251,18335.199117660522
100,100,xgboost,ONNXGPU,31408.81872177124,221.36998176574707,26324.389457702637,5465.00301361084,1343.1851863861084,33132.63559341431
1000,1000,xgboost,ONNXGPU,31729.14147377014,214.707612991333,14738.918781280518,5399.21498298645,1345.890760421753,21484.0886592865
10000,10000,xgboost,ONNXGPU,31500.838041305542,211.37166023254395,12635.191679000854,5463.406324386597,1350.9347438812256,19449.596643447876
