query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,HummingbirdPytorchGPU,32440.70553779602,356.5340042114258,206679.66055870056,12232.441902160645,11636.085510253906,230548.27165603638
1000,1000,randomforest,HummingbirdPytorchGPU,31788.222551345825,194.5359706878662,47312.127113342285,11390.783786773682,6887.769460678101,65590.75331687927
10000,10000,randomforest,HummingbirdPytorchGPU,32684.028148651123,187.64853477478027,43551.12552642822,12023.438930511475,6843.469142913818,62418.10870170593
100000,100000,randomforest,HummingbirdPytorchGPU,32918.118715286255,189.89205360412598,42928.526639938354,11408.643007278442,6829.44917678833,61166.69583320618
100,100,randomforest,HummingbirdTorchScriptGPU,32980.07535934448,190.73963165283203,139815.36483764648,11910.620927810669,6061.6044998168945,157787.67085075378
1000,1000,randomforest,HummingbirdTorchScriptGPU,33040.61841964722,187.19196319580078,32274.37663078308,11502.613544464111,6029.230356216431,49806.30159378052
10000,10000,randomforest,HummingbirdTorchScriptGPU,32505.80859184265,189.0389919281006,27752.225160598755,11603.40428352356,6177.540302276611,45533.24747085571
100,100,randomforest,ONNXGPU,32906.52132034302,186.37776374816895,160190.45996665955,12238.67678642273,9480.088472366333,181909.2938899994
1000,1000,randomforest,ONNXGPU,32572.648763656616,185.6217384338379,114303.22670936584,11493.782997131348,6411.91840171814,132208.9946269989
10000,10000,randomforest,ONNXGPU,32780.874252319336,190.40751457214355,101361.19103431702,11485.814094543457,6548.305988311768,119395.37572860718
100000,100000,randomforest,ONNXGPU,31522.32074737549,187.89100646972656,100449.5780467987,11333.443641662598,6707.950592041016,118491.03617668152
1000000,1000000,randomforest,ONNXGPU,32294.696807861328,188.6005401611328,109056.33282661438,11296.926259994507,8208.267450332642,128561.59210205078
23013804,23013804,randomforest,ONNXGPU,32005.260467529297,187.3643398284912,107057.23524093628,11324.64075088501,6672.288417816162,125054.23521995544
100,100,randomforest,HummingbirdTVMGPU,32256.860971450806,185.98389625549316,75724.74980354309,11536.912441253662,35652.87804603577,122914.63017463684
1000,1000,randomforest,HummingbirdTVMGPU,32376.789569854736,188.61675262451172,13525.419473648071,11553.739070892334,30862.907886505127,55942.15631484985
10000,10000,randomforest,HummingbirdTVMGPU,32600.97336769104,188.93861770629883,9117.945909500122,11732.977390289307,34098.87099266052,54949.88036155701
100000,100000,randomforest,HummingbirdTVMGPU,32719.29359436035,186.55967712402344,8865.309000015259,12400.082111358643,63738.24715614319,85003.73029708862
1000000,1000000,randomforest,HummingbirdTVMGPU,33164.92962837219,189.44835662841797,9154.127836227417,12305.363655090332,311477.5924682617,332937.17670440674
100,100,randomforest,NvidiaFILGPU,32208.49061012268,188.73286247253418,123735.51821708679,5663.071870803833,6886.731863021851,136285.40134429932
1000,1000,randomforest,NvidiaFILGPU,31665.58599472046,188.45844268798828,20888.746738433838,8551.362037658691,2610.9206676483154,32051.114797592163
10000,10000,randomforest,NvidiaFILGPU,31838.566064834595,187.06345558166504,7563.780784606934,5716.19176864624,2576.889991760254,15856.937408447266
100000,100000,randomforest,NvidiaFILGPU,32877.630949020386,192.06929206848145,7183.440923690796,5728.9228439331055,2561.128616333008,15473.567724227905
1000000,1000000,randomforest,NvidiaFILGPU,32760.135889053345,187.54100799560547,7928.285121917725,5750.8440017700195,2618.3533668518066,16297.567129135132
23013804,23013804,randomforest,NvidiaFILGPU,32973.29306602478,185.6691837310791,9445.441246032715,5857.076406478882,2559.967041015625,17862.98418045044
100,100,xgboost,HummingbirdPytorchGPU,32468.543767929077,291.4755344390869,224174.7281551361,11499.481201171875,27344.88606452942,263019.1743373871
1000,1000,xgboost,HummingbirdPytorchGPU,32796.40340805054,252.84719467163086,47008.8791847229,11742.25401878357,27634.89842414856,86386.10291481018
10000,10000,xgboost,HummingbirdPytorchGPU,32402.760982513428,251.79266929626465,42744.20118331909,12254.188299179077,27942.34323501587,82940.80758094788
100000,100000,xgboost,HummingbirdPytorchGPU,31930.700302124023,254.65106964111328,42181.62131309509,11643.562078475952,27685.774564743042,81511.0375881195
100,100,xgboost,HummingbirdTorchScriptGPU,32344.415187835693,252.70462036132812,143746.70600891113,12089.218139648438,27250.62084197998,183086.62796020508
1000,1000,xgboost,HummingbirdTorchScriptGPU,32688.246488571167,250.57363510131836,32363.43812942505,11677.116870880127,27488.080978393555,71528.70631217957
10000,10000,xgboost,HummingbirdTorchScriptGPU,32965.21306037903,257.04002380371094,27644.911289215088,11839.502096176147,26979.818105697632,66464.30349349976
100,100,xgboost,ONNXGPU,31661.815881729126,251.56903266906738,142119.0812587738,11466.4146900177,5888.440132141113,159474.02167320251
1000,1000,xgboost,ONNXGPU,32213.915586471558,260.1182460784912,111944.05126571655,11548.487663269043,11671.844005584717,135164.44563865662
10000,10000,xgboost,ONNXGPU,31981.171369552612,260.1330280303955,101549.0779876709,11543.215036392212,5358.979940414429,118451.33876800537
100000,100000,xgboost,ONNXGPU,31770.209789276123,261.58785820007324,97294.79384422302,11301.61714553833,7638.222455978394,116234.69543457031
1000000,1000000,xgboost,ONNXGPU,31756.51240348816,259.19413566589355,101863.69609832764,11369.645357131958,5893.104314804077,119126.5070438385
23013804,23013804,xgboost,ONNXGPU,31884.121894836426,257.0784091949463,101980.86977005005,11929.900646209717,6024.524211883545,119935.87684631348
100,100,xgboost,HummingbirdTVMGPU,31526.932954788208,258.9600086212158,76542.12045669556,11840.521574020386,75645.44653892517,164028.17249298096
1000,1000,xgboost,HummingbirdTVMGPU,31803.975820541382,256.36959075927734,13020.192623138428,11694.586515426636,73642.80152320862,98357.66768455505
10000,10000,xgboost,HummingbirdTVMGPU,32279.828310012817,257.9843997955322,8760.9224319458,11903.46908569336,75965.48748016357,96629.97126579285
100000,100000,xgboost,HummingbirdTVMGPU,32589.70880508423,256.17074966430664,8229.66194152832,12564.945936203003,106168.90668869019,126963.62352371216
1000000,1000000,xgboost,HummingbirdTVMGPU,32462.33558654785,260.0233554840088,8635.60700416565,11681.55574798584,352860.12530326843,373177.37889289856
100,100,xgboost,NvidiaFILGPU,32707.053661346436,251.8925666809082,117105.55696487427,7263.424396514893,2766.883373260498,127135.94174385071
1000,1000,xgboost,NvidiaFILGPU,32332.31544494629,258.3134174346924,23497.35999107361,6074.822425842285,2682.671308517456,32254.934549331665
10000,10000,xgboost,NvidiaFILGPU,32645.19238471985,261.11841201782227,5630.27811050415,6154.149055480957,2749.758005142212,14534.264087677002
100000,100000,xgboost,NvidiaFILGPU,33130.61308860779,258.4958076477051,4463.017225265503,6771.5418338775635,2702.287435531616,13936.925172805786
1000000,1000000,xgboost,NvidiaFILGPU,32401.63564682007,257.07101821899414,4623.3696937561035,6107.431173324585,2693.1331157684326,13424.01647567749
23013804,23013804,xgboost,NvidiaFILGPU,31945.106267929077,258.5577964782715,4960.636854171753,6334.611415863037,2685.5368614196777,13981.145858764648
100,100,xgboost,XGBoostGPU,32581.169605255127,256.1163902282715,2641031.2933921814,12344.009399414062,0.0,2653377.2778511047
1000,1000,xgboost,XGBoostGPU,32490.374326705933,256.8821907043457,271423.0890274048,12293.079137802124,0.0,283718.0676460266
10000,10000,xgboost,XGBoostGPU,32424.805402755737,258.8789463043213,33379.56190109253,11446.746110916138,0.0,44828.30476760864
100000,100000,xgboost,XGBoostGPU,32671.350717544556,257.9824924468994,12478.33228111267,11783.45251083374,0.0,24263.696908950806
1000000,1000000,xgboost,XGBoostGPU,32547.499418258667,255.76448440551758,11544.785022735596,11616.850137710571,0.0,23163.55848312378
23013804,23013804,xgboost,XGBoostGPU,33583.62579345703,257.3258876800537,11206.006288528442,11708.702564239502,0.0,22916.71109199524
100,100,lightgbm,HummingbirdPytorchGPU,32435.813903808594,1511.6727352142334,231771.8541622162,12072.253942489624,11005.933284759521,254850.12674331665
1000,1000,lightgbm,HummingbirdPytorchGPU,32634.811639785767,652.6467800140381,47055.957555770874,11985.676527023315,11058.303356170654,70100.02827644348
10000,10000,lightgbm,HummingbirdPytorchGPU,33119.32730674744,634.0482234954834,42843.573570251465,11653.627157211304,11099.884271621704,65597.1691608429
100000,100000,lightgbm,HummingbirdPytorchGPU,31963.842391967773,675.039529800415,42143.80955696106,11754.175186157227,11388.594150543213,65286.664962768555
100,100,lightgbm,HummingbirdTorchScriptGPU,33106.54306411743,656.4538478851318,144876.62816047668,11909.504890441895,10908.535242080688,167694.74911689758
1000,1000,lightgbm,HummingbirdTorchScriptGPU,32436.007976531982,691.2798881530762,32416.54682159424,11836.220502853394,10965.086936950684,55217.92960166931
10000,10000,lightgbm,HummingbirdTorchScriptGPU,33196.168422698975,666.6982173919678,27809.281826019287,12082.276105880737,11152.605533599854,51044.28267478943
100,100,lightgbm,ONNXGPU,32119.45939064026,650.5868434906006,162717.59510040283,11410.587072372437,6650.547981262207,180778.79309654236
1000,1000,lightgbm,ONNXGPU,32005.378007888794,645.1191902160645,114227.36406326294,11760.399341583252,7346.888780593872,133334.7146511078
10000,10000,lightgbm,ONNXGPU,31894.98543739319,688.1892681121826,103195.49536705017,11601.44567489624,12653.738260269165,127450.74415206909
100000,100000,lightgbm,ONNXGPU,32506.834268569946,650.9301662445068,101685.6598854065,12554.185152053833,7307.376861572266,121547.2891330719
1000000,1000000,lightgbm,ONNXGPU,31885.544061660767,651.1812210083008,106401.7813205719,11414.880514144897,6396.644592285156,124213.37080001831
23013804,23013804,lightgbm,ONNXGPU,31852.785348892212,640.831470489502,108099.68590736389,11863.4774684906,5879.813194274902,125843.04904937744
100,100,lightgbm,HummingbirdTVMGPU,31908.833026885986,644.0744400024414,77365.7591342926,11703.48572731018,43315.62161445618,132384.94968414307
1000,1000,lightgbm,HummingbirdTVMGPU,31905.319690704346,645.8382606506348,13073.131799697876,12061.144351959229,40518.230676651,65652.59742736816
10000,10000,lightgbm,HummingbirdTVMGPU,32909.77883338928,642.7896022796631,8731.283903121948,11756.564617156982,43316.145181655884,63804.07643318176
100000,100000,lightgbm,HummingbirdTVMGPU,33006.9477558136,644.9010372161865,8277.08649635315,11936.334371566772,73371.67978286743,93585.18695831299
1000000,1000000,lightgbm,HummingbirdTVMGPU,32918.2550907135,644.1323757171631,8807.576656341553,11681.352138519287,319752.19321250916,340241.2109375
100,100,lightgbm,NvidiaFILGPU,32417.31333732605,646.8288898468018,123257.404088974,6361.923933029175,2741.5931224823,132360.99290847778
1000,1000,lightgbm,NvidiaFILGPU,32918.8392162323,664.2913818359375,20972.432851791382,6429.049730300903,2691.9260025024414,30093.491554260254
10000,10000,lightgbm,NvidiaFILGPU,32770.05481719971,680.7479858398438,7204.453229904175,6405.87306022644,2793.618679046631,16404.02364730835
100000,100000,lightgbm,NvidiaFILGPU,32783.81633758545,637.8078460693359,6758.650541305542,6385.691165924072,2701.3044357299805,15845.727443695068
1000000,1000000,lightgbm,NvidiaFILGPU,32565.44852256775,646.669864654541,7549.205780029297,6200.562477111816,2677.793264389038,16427.64449119568
23013804,23013804,lightgbm,NvidiaFILGPU,32920.91917991638,658.1964492797852,8971.487283706665,6201.138496398926,2692.646026611328,17865.80204963684
