query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,xgboost,HummingbirdPytorchGPU,18308.141231536865,205.8548927307129,3266.6990756988525,116.44148826599121,8492.463111877441,11875.672817230225
1000,1000,xgboost,HummingbirdPytorchGPU,18298.250436782837,208.2054615020752,623.5356330871582,119.88449096679688,4423.880338668823,5167.372226715088
10000,10000,xgboost,HummingbirdPytorchGPU,18416.059017181396,207.9935073852539,473.832368850708,117.13433265686035,4399.55997467041,4990.586042404175
236750,236750,xgboost,HummingbirdPytorchGPU,18359.87114906311,210.19577980041504,213.46354484558105,115.17930030822754,4399.020671844482,4727.727174758911
100,100,xgboost,HummingbirdTorchScriptGPU,18195.521354675293,209.66458320617676,3412.9393100738525,117.29884147644043,3212.7907276153564,6743.094444274902
1000,1000,xgboost,HummingbirdTorchScriptGPU,18214.890956878662,207.57389068603516,1401.944637298584,125.73766708374023,3151.228666305542,4678.970098495483
10000,10000,xgboost,HummingbirdTorchScriptGPU,18315.380573272705,206.35581016540527,1774.5816707611084,116.99247360229492,3235.931873321533,5127.568483352661
236750,236750,xgboost,HummingbirdTorchScriptGPU,18354.04872894287,207.2749137878418,1122.27463722229,116.65773391723633,4983.179330825806,6222.185373306274
100,100,xgboost,ONNXGPU,18345.16668319702,208.56094360351562,3253.4756660461426,141.8156623840332,1307.8222274780273,4703.196048736572
1000,1000,xgboost,ONNXGPU,18406.415224075317,212.0039463043213,1531.5172672271729,130.16176223754883,475.09312629699707,2136.8327140808105
10000,10000,xgboost,ONNXGPU,18549.911975860596,212.55922317504883,1565.7718181610107,116.92380905151367,472.2027778625488,2154.954195022583
236750,236750,xgboost,ONNXGPU,18359.57407951355,211.11035346984863,1624.0592002868652,124.27473068237305,470.8702564239502,2219.266891479492
100,100,xgboost,HummingbirdTVMGPU,18399.943351745605,210.07084846496582,1492.894172668457,126.58381462097168,13094.990015029907,14714.547395706177
1000,1000,xgboost,HummingbirdTVMGPU,18309.840440750122,212.28337287902832,719.707727432251,117.7370548248291,28723.38318824768,29560.908317565918
10000,10000,xgboost,HummingbirdTVMGPU,18464.544773101807,212.03112602233887,645.9650993347168,117.10453033447266,29109.514474868774,29872.66445159912
236750,236750,xgboost,HummingbirdTVMGPU,18598.59275817871,209.90633964538574,791.9206619262695,125.2140998840332,20977.482318878174,21894.69861984253
100,100,xgboost,NvidiaFILGPU,18514.56379890442,213.90128135681152,1925.060510635376,57.773590087890625,6499.847412109375,8482.748985290527
1000,1000,xgboost,NvidiaFILGPU,18571.675062179565,211.55381202697754,899.8160362243652,57.576894760131836,2621.370315551758,3578.835964202881
10000,10000,xgboost,NvidiaFILGPU,18350.757122039795,215.80862998962402,1119.3842887878418,57.7702522277832,2641.0255432128906,3818.249225616455
236750,236750,xgboost,NvidiaFILGPU,18318.010330200195,213.56582641601562,843.7910079956055,58.54916572570801,2662.9087924957275,3565.324306488037
100,100,xgboost,XGBoostGPU,18500.30755996704,214.48898315429688,10281.86297416687,121.93107604980469,0.0,10405.746459960938
1000,1000,xgboost,XGBoostGPU,18452.314615249634,212.2502326965332,5885.443687438965,116.34159088134766,0.0,6003.720998764038
10000,10000,xgboost,XGBoostGPU,18481.23073577881,214.24198150634766,5425.183057785034,125.34546852111816,0.0,5552.483320236206
236750,236750,xgboost,XGBoostGPU,18369.98701095581,211.54332160949707,5496.849536895752,116.3330078125,0.0,5615.17596244812
100,100,lightgbm,HummingbirdPytorchGPU,18357.702493667603,621.1042404174805,3207.087516784668,123.24261665344238,3953.77779006958,7284.179925918579
1000,1000,lightgbm,HummingbirdPytorchGPU,19675.745248794556,617.6314353942871,607.3575019836426,121.46258354187012,3961.9503021240234,4690.833568572998
10000,10000,lightgbm,HummingbirdPytorchGPU,18249.139308929443,613.945722579956,476.2256145477295,117.01416969299316,3984.8334789276123,4578.135967254639
236750,236750,lightgbm,HummingbirdPytorchGPU,18547.48773574829,633.3308219909668,212.16893196105957,116.05525016784668,3970.1716899871826,4298.4607219696045
100,100,lightgbm,HummingbirdTorchScriptGPU,18517.86208152771,616.5621280670166,3213.7656211853027,118.3478832244873,3404.665946960449,6736.846208572388
1000,1000,lightgbm,HummingbirdTorchScriptGPU,18242.57183074951,611.8545532226562,1397.0987796783447,116.79506301879883,3388.160228729248,4902.1155834198
10000,10000,lightgbm,HummingbirdTorchScriptGPU,18254.907369613647,608.616828918457,1785.2981090545654,127.3202896118164,3481.8460941314697,5394.529342651367
236750,236750,lightgbm,HummingbirdTorchScriptGPU,18152.76551246643,607.7930927276611,1119.2901134490967,118.6683177947998,5245.858907699585,6483.893632888794
100,100,lightgbm,ONNXGPU,18328.741788864136,610.3096008300781,989.8152351379395,137.49933242797852,1425.5499839782715,2552.9239177703857
1000,1000,lightgbm,ONNXGPU,18380.97310066223,615.3972148895264,731.2617301940918,130.34415245056152,1446.601390838623,2308.262825012207
10000,10000,lightgbm,ONNXGPU,18325.92272758484,623.1138706207275,834.1660499572754,129.31132316589355,1443.7980651855469,2407.3314666748047
236750,236750,lightgbm,ONNXGPU,18389.49179649353,613.4142875671387,819.382905960083,116.45030975341797,1429.6181201934814,2365.5097484588623
100,100,lightgbm,HummingbirdTVMGPU,18474.921941757202,622.9846477508545,1477.1063327789307,119.07744407653809,11528.379440307617,13124.63903427124
1000,1000,lightgbm,HummingbirdTVMGPU,18318.937063217163,616.5688037872314,708.1625461578369,119.35019493103027,28391.695261001587,29219.284057617188
10000,10000,lightgbm,HummingbirdTVMGPU,18296.710729599,602.3788452148438,794.346809387207,118.02053451538086,28869.608879089355,29782.056093215942
236750,236750,lightgbm,HummingbirdTVMGPU,18415.977954864502,607.0601940155029,792.1874523162842,118.5140609741211,20668.415784835815,21579.20002937317
100,100,lightgbm,NvidiaFILGPU,18304.670810699463,619.1203594207764,1903.531551361084,64.22877311706543,2466.498374938965,4434.334993362427
