query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
10,10,xgboost,Sklearn,20058.0472946167,392.1961784362793,34577.27813720703,57.33537673950195,0.0,34634.66787338257
100,100,xgboost,Sklearn,17941.628456115723,213.36770057678223,8458.540678024292,55.82165718078613,0.0,8514.400243759155
1000,1000,xgboost,Sklearn,17869.12727355957,214.80369567871094,1618.7267303466797,56.15735054016113,0.0,1674.919605255127
10000,10000,xgboost,Sklearn,18024.91784095764,211.3180160522461,1415.6699180603027,56.17380142211914,0.0,1471.886396408081
236750,236750,xgboost,Sklearn,17828.988313674927,215.9864902496338,1366.3311004638672,54.3210506439209,0.0,1420.6981658935547
10,10,xgboost,ONNXCPU,18015.56158065796,213.80233764648438,14437.036514282227,54.32581901550293,283.57601165771484,14775.009393692017
100,100,xgboost,ONNXCPU,17679.346561431885,214.49851989746094,1733.4346771240234,65.92893600463867,204.12349700927734,2003.5598278045654
1000,1000,xgboost,ONNXCPU,17877.952575683594,213.5303020477295,1732.689619064331,66.07198715209961,193.07446479797363,1991.894245147705
10000,10000,xgboost,ONNXCPU,18594.892024993896,215.03806114196777,2483.2048416137695,65.81878662109375,193.91846656799316,2743.0007457733154
236750,236750,xgboost,ONNXCPU,17773.366928100586,211.46583557128906,3693.605661392212,53.557395935058594,193.01247596740723,3940.2294158935547
10,10,xgboost,HummingbirdPytorchCPU,17833.372592926025,215.59524536132812,21553.9870262146,55.777788162231445,8283.272504806519,29893.101930618286
100,100,xgboost,HummingbirdPytorchCPU,17787.55283355713,211.68017387390137,10192.570924758911,56.891679763793945,4164.2045974731445,14413.735628128052
1000,1000,xgboost,HummingbirdPytorchCPU,17929.219722747803,211.07244491577148,5331.34126663208,60.14442443847656,4158.926486968994,9550.48942565918
10000,10000,xgboost,HummingbirdPytorchCPU,17907.42516517639,213.18411827087402,11116.99104309082,56.56242370605469,4125.091791152954,15298.718690872192
236750,236750,xgboost,HummingbirdPytorchCPU,17979.159832000732,212.93330192565918,14562.468767166138,54.69846725463867,4164.103746414185,18781.34822845459
10,10,xgboost,HummingbirdTorchScriptCPU,18023.27060699463,213.52648735046387,13409.231185913086,55.61947822570801,4336.050748825073,17800.966024398804
100,100,xgboost,HummingbirdTorchScriptCPU,17976.532459259033,211.26818656921387,6800.122261047363,55.780887603759766,4340.004444122314,11195.992708206177
1000,1000,xgboost,HummingbirdTorchScriptCPU,18487.764835357666,212.56709098815918,6002.136468887329,57.89351463317871,4601.6685962677,10661.772727966309
10000,10000,xgboost,HummingbirdTorchScriptCPU,18512.171030044556,213.69123458862305,8974.130868911743,56.45489692687988,7307.859420776367,16338.544130325317
236750,236750,xgboost,HummingbirdTorchScriptCPU,18925.854206085205,213.38272094726562,12267.566919326782,54.18109893798828,78047.1613407135,90368.97850036621
10,10,xgboost,HummingbirdTVMCPU,17866.72067642212,209.9919319152832,12222.388505935669,135.8640193939209,11549.721717834473,23908.061265945435
100,100,xgboost,HummingbirdTVMCPU,17875.563859939575,210.8612060546875,3640.3675079345703,135.30659675598145,17695.433378219604,21471.19927406311
1000,1000,xgboost,HummingbirdTVMCPU,17924.54695701599,212.26239204406738,2848.3850955963135,135.1034641265869,18098.254203796387,21081.84027671814
10000,10000,xgboost,HummingbirdTVMCPU,17944.80586051941,210.40987968444824,4083.6942195892334,136.2323760986328,21756.28113746643,25976.303339004517
236750,236750,xgboost,HummingbirdTVMCPU,18060.87827682495,212.33201026916504,4097.874164581299,132.92694091796875,83581.3934803009,87812.30401992798
10,10,xgboost,TreeLite,18465.0936126709,210.93153953552246,5760.485887527466,133.6216926574707,4.208803176879883,5898.406028747559
100,100,xgboost,TreeLite,18630.70297241211,210.08658409118652,2408.2632064819336,138.30900192260742,0.9427070617675781,2547.604560852051
1000,1000,xgboost,TreeLite,18725.995540618896,210.95633506774902,1835.2453708648682,132.72595405578613,0.9648799896240234,1969.0303802490234
10000,10000,xgboost,TreeLite,18757.563591003418,210.01744270324707,3184.1061115264893,131.96563720703125,0.9868144989013672,3320.042610168457
236750,236750,xgboost,TreeLite,18816.190004348755,211.48920059204102,2236.8295192718506,118.08085441589355,0.9958744049072266,2440.0572776794434
10,10,lightgbm,Sklearn,18670.87197303772,650.9249210357666,13011.284112930298,56.90574645996094,0.0,13068.232297897339
100,100,lightgbm,Sklearn,17906.672954559326,628.4708976745605,4033.26153755188,55.739402770996094,0.0,4089.045524597168
1000,1000,lightgbm,Sklearn,17872.939109802246,628.4666061401367,3149.0964889526367,54.61573600769043,0.0,3203.749895095825
10000,10000,lightgbm,Sklearn,17871.03033065796,627.4309158325195,3199.8605728149414,55.74202537536621,0.0,3255.648374557495
236750,236750,lightgbm,Sklearn,18014.840364456177,624.6845722198486,2980.1740646362305,54.53038215637207,0.0,3034.75284576416
10,10,lightgbm,ONNXCPU,17974.50017929077,633.6841583251953,18423.81238937378,54.294586181640625,232.6490879058838,18710.806131362915
100,100,lightgbm,ONNXCPU,17803.247451782227,624.1264343261719,1943.0618286132812,64.81385231018066,223.18649291992188,2231.116533279419
1000,1000,lightgbm,ONNXCPU,17884.385585784912,628.0078887939453,1847.4304676055908,66.22004508972168,223.4475612640381,2137.150287628174
10000,10000,lightgbm,ONNXCPU,18204.7917842865,627.4423599243164,2506.842851638794,65.13428688049316,223.66690635681152,2795.704126358032
236750,236750,lightgbm,ONNXCPU,17838.743925094604,624.194860458374,3748.298168182373,54.30960655212402,221.91190719604492,4024.574041366577
10,10,lightgbm,HummingbirdPytorchCPU,17779.516458511353,622.1420764923096,21746.96159362793,55.99784851074219,3279.491901397705,25082.51643180847
100,100,lightgbm,HummingbirdPytorchCPU,17873.239517211914,630.7878494262695,8717.492818832397,56.482791900634766,3291.13507270813,12065.174102783203
1000,1000,lightgbm,HummingbirdPytorchCPU,17949.078798294067,627.8941631317139,4763.788223266602,61.06233596801758,3270.5016136169434,8095.434665679932
10000,10000,lightgbm,HummingbirdPytorchCPU,18364.551305770874,648.8723754882812,11439.074754714966,57.971954345703125,3312.3600482940674,14809.473991394043
236750,236750,lightgbm,HummingbirdPytorchCPU,18339.916706085205,665.2679443359375,14712.97574043274,56.82969093322754,3330.8677673339844,18100.74210166931
10,10,lightgbm,HummingbirdTorchScriptCPU,18517.67587661743,659.5437526702881,13242.767333984375,56.40840530395508,3672.389268875122,16971.635341644287
100,100,lightgbm,HummingbirdTorchScriptCPU,18543.66397857666,674.1073131561279,7012.806177139282,55.51886558532715,3629.3957233428955,10697.789669036865
1000,1000,lightgbm,HummingbirdTorchScriptCPU,18277.2159576416,621.8554973602295,4244.565010070801,57.829856872558594,3843.2774543762207,8145.7459926605225
10000,10000,lightgbm,HummingbirdTorchScriptCPU,17883.88681411743,623.711109161377,9020.158767700195,57.34658241271973,6644.439458847046,15722.012758255005
236750,236750,lightgbm,HummingbirdTorchScriptCPU,17935.171604156494,626.60813331604,12247.988939285278,56.624650955200195,76724.5135307312,89029.19912338257
10,10,lightgbm,HummingbirdTVMCPU,17889.241695404053,622.8878498077393,12438.405513763428,134.77325439453125,9818.8955783844,22392.168760299683
100,100,lightgbm,HummingbirdTVMCPU,17848.45519065857,626.868724822998,3687.2241497039795,134.843111038208,16866.443395614624,20688.60650062561
1000,1000,lightgbm,HummingbirdTVMCPU,17809.44585800171,622.4365234375,2896.7552185058594,132.96866416931152,17174.840927124023,20204.657793045044
10000,10000,lightgbm,HummingbirdTVMCPU,17734.38596725464,624.2029666900635,4126.996755599976,132.44009017944336,20768.941640853882,25028.472661972046
236750,236750,lightgbm,HummingbirdTVMCPU,17939.09215927124,628.1936168670654,4171.515464782715,134.71198081970215,82920.81665992737,87227.13851928711
10,10,lightgbm,TreeLite,17969.813346862793,625.0617504119873,4683.696508407593,134.07421112060547,5.194664001464844,4823.046922683716
100,100,lightgbm,TreeLite,17918.1489944458,624.0582466125488,1996.7389106750488,131.48951530456543,0.8997917175292969,2129.215717315674
1000,1000,lightgbm,TreeLite,17796.18787765503,625.847578048706,1582.9341411590576,133.77761840820312,0.8478164672851562,1718.684434890747
10000,10000,lightgbm,TreeLite,17835.017681121826,635.6070041656494,2906.050682067871,130.76519966125488,0.8544921875,3040.503978729248
236750,236750,lightgbm,TreeLite,18207.504510879517,622.8592395782471,1988.032579421997,123.81124496459961,0.9398460388183594,2192.5015449523926
