query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1000,1000,randomforest,Sklearn,77688.36307525635,371.6254234313965,3501476.060152054,6125.598669052124,0.0,3507601.7105579376
10000,10000,randomforest,Sklearn,61962.83793449402,170.38822174072266,474723.78420829773,6204.437494277954,0.0,480928.275346756
100000,100000,randomforest,Sklearn,61762.7432346344,171.24414443969727,137431.11157417297,6264.538764953613,0.0,143695.6992149353
1000000,1000000,randomforest,Sklearn,61654.359340667725,170.8693504333496,132375.73266029358,6228.2280921936035,0.0,138604.0165424347
10000000,10000000,randomforest,Sklearn,61630.97643852234,172.71828651428223,153988.55209350586,6296.376466751099,0.0,160285.20345687866
100000000,100000000,randomforest,Sklearn,62082.212686538696,171.065092086792,153033.1196784973,6534.938097000122,0.0,159568.7165260315
131564160,131564160,randomforest,Sklearn,62312.78657913208,172.03450202941895,153536.4646911621,6262.735605239868,0.0,159799.85070228577
1000,1000,randomforest,ONNXCPU,61913.03539276123,169.99244689941406,78473.9875793457,6136.838912963867,1583.5795402526855,86194.46921348572
10000,10000,randomforest,ONNXCPU,61712.9487991333,174.93104934692383,71127.9034614563,6355.751991271973,1550.8205890655518,79034.53993797302
100000,100000,randomforest,ONNXCPU,61777.34136581421,170.52841186523438,72205.39093017578,6108.144998550415,1563.575029373169,79877.17890739441
1000000,1000000,randomforest,ONNXCPU,61618.69740486145,169.12364959716797,75570.57309150696,6120.785474777222,1557.5082302093506,83248.92997741699
10000000,10000000,randomforest,ONNXCPU,61713.89031410217,174.26490783691406,75122.40624427795,5962.499141693115,1566.114902496338,82651.08871459961
100000000,100000000,randomforest,ONNXCPU,61626.86634063721,172.68681526184082,78960.205078125,6024.728775024414,1562.6442432403564,86547.64461517334
131564160,131564160,randomforest,ONNXCPU,61787.61625289917,174.84426498413086,76110.0046634674,6081.596851348877,1557.7585697174072,83749.43161010742
1000,1000,randomforest,HummingbirdPytorchCPU,62001.776933670044,171.60320281982422,482207.33523368835,6169.724225997925,7448.541879653931,495825.68550109863
10000,10000,randomforest,HummingbirdPytorchCPU,61545.46284675598,173.64788055419922,1248400.4628658295,6217.407703399658,3208.183765411377,1257826.1387348175
100000,100000,randomforest,HummingbirdPytorchCPU,61815.287828445435,176.54824256896973,1477241.0802841187,6908.245086669922,3208.611249923706,1487358.0210208893
1000000,1000000,randomforest,HummingbirdPytorchCPU,61689.86010551453,169.46768760681152,1434181.438446045,6249.675512313843,3195.667028427124,1443626.8734931946
1000,1000,randomforest,HummingbirdTorchScriptCPU,61497.82657623291,174.4101047515869,389887.0418071747,6180.785655975342,3910.428762435913,399978.3651828766
10000,10000,randomforest,HummingbirdTorchScriptCPU,61695.53303718567,172.02329635620117,534640.0921344757,6315.829753875732,6262.508392333984,547218.5189723969
100000,100000,randomforest,HummingbirdTorchScriptCPU,63645.721435546875,173.39611053466797,1220184.909582138,6382.490396499634,32753.481149673462,1259320.9688663483
1000000,1000000,randomforest,HummingbirdTorchScriptCPU,62096.445083618164,173.13575744628906,1157982.1991920471,6187.296152114868,277969.2611694336,1442138.8487815857
1000,1000,randomforest,HummingbirdTVMCPU,61794.899225234985,170.55964469909668,167828.49836349487,6430.479526519775,16671.38671875,190930.45210838318
10000,10000,randomforest,HummingbirdTVMCPU,61812.668800354004,171.68927192687988,162395.60222625732,6490.879535675049,18710.901498794556,187597.4714756012
100000,100000,randomforest,HummingbirdTVMCPU,61645.97797393799,171.05913162231445,160802.69765853882,6392.677783966064,47940.335273742676,215135.80060005188
1000000,1000000,randomforest,HummingbirdTVMCPU,61649.91092681885,170.89176177978516,161405.40862083435,6494.884014129639,376815.38438796997,544715.7754898071
1000,1000,xgboost,Sklearn,61659.46364402771,259.8538398742676,104423.43854904175,6285.661935806274,0.0,110709.15031433105
10000,10000,xgboost,Sklearn,61365.81563949585,228.04737091064453,82955.53088188171,6516.844987869263,0.0,89472.42569923401
100000,100000,xgboost,Sklearn,61701.311349868774,231.1079502105713,78778.5837650299,6610.4419231414795,0.0,85389.07647132874
1000000,1000000,xgboost,Sklearn,61575.70743560791,229.81810569763184,77842.65184402466,6149.167776107788,0.0,83991.87541007996
10000000,10000000,xgboost,Sklearn,61585.426568984985,228.90114784240723,77814.43929672241,6105.327367782593,0.0,83920.06421089172
100000000,100000000,xgboost,Sklearn,62358.76202583313,230.54122924804688,77681.54907226562,6228.749752044678,0.0,83910.96591949463
131564160,131564160,xgboost,Sklearn,61808.88104438782,230.20172119140625,77755.86247444153,6219.224452972412,0.0,83975.82006454468
1000,1000,xgboost,ONNXCPU,61642.42124557495,227.84686088562012,87903.52177619934,6218.168497085571,1773.0941772460938,95894.85025405884
