query size,batch_size,model,framework,data loading time,sklearn loading time,dense_conversion,inference time,result writing time,conversion time,total framework time
1,1,randomforest,NvidiaFILGPU,252.08687782287598,345.8251953125,3.0412726402282715,48950.13070106506,2.5987625122070312,7224.964141845703,56177.75225639343
10,10,randomforest,NvidiaFILGPU,243.47829818725586,183.2132339477539,1.319962501525879,66021.977186203,2.7666091918945312,2814.634323120117,68839.43963050842
100,100,randomforest,NvidiaFILGPU,243.58344078063965,184.59773063659668,1.311680555343628,64515.97857475281,2.748727798461914,2747.432231903076,67266.22366905212
1000,1000,randomforest,NvidiaFILGPU,244.61936950683594,180.66692352294922,1.3019301891326904,66907.87863731384,2.7484893798828125,2752.2099018096924,69662.9068851471
1,1,xgboost,NvidiaFILGPU,243.1924343109131,415.2202606201172,5.611454963684082,26664.95180130005,2.7794837951660156,2974.5938777923584,29642.38691329956
10,10,xgboost,NvidiaFILGPU,246.19197845458984,389.967679977417,1.3472249507904053,26545.971632003784,2.8057098388671875,2912.302017211914,29461.148023605347
100,100,xgboost,NvidiaFILGPU,243.99852752685547,386.95549964904785,1.3385963439941406,26035.55202484131,2.7365684509277344,2893.8302993774414,28932.191848754883
1000,1000,xgboost,NvidiaFILGPU,252.3055076599121,394.52648162841797,1.2959136962890625,27412.075996398926,2.7136802673339844,2883.0161094665527,30297.877311706543
1,1,lightgbm,NvidiaFILGPU,244.0621852874756,1617.4135208129883,3.2327890396118164,49100.35562515259,2.8333663940429688,2987.5690937042236,52090.82126617432
10,10,lightgbm,NvidiaFILGPU,244.02761459350586,1186.5687370300293,1.3120923042297363,65636.73400878906,2.9754638671875,2826.0700702667236,68465.8408164978
100,100,lightgbm,NvidiaFILGPU,243.12806129455566,1181.6284656524658,1.3052241802215576,64381.23321533203,2.8498172760009766,2842.344284057617,67226.48930549622
1000,1000,lightgbm,NvidiaFILGPU,243.92271041870117,1175.3342151641846,1.302067756652832,66838.21773529053,2.8297901153564453,2840.6529426574707,69681.76651000977
