query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,HummingbirdPytorchGPU,122340.52467346191,341.74084663391113,1476.757526397705,52.00910568237305,11101.768255233765,12630.600214004517
1000,1000,randomforest,HummingbirdPytorchGPU,119125.45013427734,165.2090549468994,490.98730087280273,54.16560173034668,6246.929883956909,6792.147874832153
10000,10000,randomforest,HummingbirdPytorchGPU,119724.38883781433,164.66617584228516,481.9774627685547,50.37832260131836,6315.487861633301,6847.904443740845
100000,100000,randomforest,HummingbirdPytorchGPU,119852.6062965393,166.44620895385742,377.73776054382324,51.46527290344238,6277.093887329102,6706.361770629883
100,100,randomforest,HummingbirdTorchScriptGPU,119284.16919708252,163.4047031402588,2509.589195251465,50.94408988952637,5606.056213378906,8166.647672653198
1000,1000,randomforest,HummingbirdTorchScriptGPU,119148.23126792908,162.57095336914062,1414.2711162567139,51.11336708068848,5586.262226104736,7051.718711853027
10000,10000,randomforest,HummingbirdTorchScriptGPU,120898.18382263184,165.62771797180176,897.1648216247559,51.36871337890625,5821.638107299805,6770.2367305755615
100,100,randomforest,ONNXGPU,124811.32745742798,165.87066650390625,1771.9480991363525,50.29034614562988,7941.028594970703,9763.317108154297
1000,1000,randomforest,ONNXGPU,119024.29556846619,166.80169105529785,4061.166763305664,50.520896911621094,5255.571365356445,9367.31243133545
10000,10000,randomforest,ONNXGPU,120860.26072502136,162.5838279724121,5237.944841384888,61.283111572265625,5220.368146896362,10519.652128219604
100000,100000,randomforest,ONNXGPU,118698.01139831543,164.73937034606934,6289.016008377075,49.22842979431152,5234.112024307251,11572.410345077515
100,100,randomforest,HummingbirdTVMGPU,119843.76859664917,164.29495811462402,892.7021026611328,53.81011962890625,19206.968784332275,20153.54084968567
1000,1000,randomforest,HummingbirdTVMGPU,119712.88466453552,162.78481483459473,2409.123659133911,52.01315879821777,16471.62103652954,18932.82413482666
10000,10000,randomforest,HummingbirdTVMGPU,118831.8817615509,163.91539573669434,2564.3928050994873,50.266265869140625,18356.99701309204,20971.723079681396
100000,100000,randomforest,HummingbirdTVMGPU,119038.42425346375,165.1785373687744,687.5636577606201,54.41474914550781,51917.40155220032,52659.45243835449
100,100,randomforest,NvidiaFILGPU,124198.6186504364,164.17765617370605,1574.9049186706543,27.02164649963379,5847.280025482178,7449.265480041504
1000,1000,randomforest,NvidiaFILGPU,121567.74687767029,165.5433177947998,1015.9103870391846,26.899337768554688,2135.4761123657227,3178.345203399658
10000,10000,randomforest,NvidiaFILGPU,119985.76474189758,166.69750213623047,1130.6169033050537,26.973724365234375,2140.60115814209,3298.250436782837
100000,100000,randomforest,NvidiaFILGPU,117911.98635101318,164.00456428527832,2094.2671298980713,26.90434455871582,2208.088159561157,4329.320907592773
100,100,xgboost,HummingbirdPytorchGPU,118945.89924812317,261.9006633758545,1951.195478439331,51.848649978637695,25207.453727722168,27210.567951202393
1000,1000,xgboost,HummingbirdPytorchGPU,119380.91731071472,229.17962074279785,950.7288932800293,54.53014373779297,25678.902864456177,26684.23366546631
10000,10000,xgboost,HummingbirdPytorchGPU,119591.92681312561,230.47471046447754,473.70243072509766,51.11527442932129,25240.09656906128,25764.978647232056
100000,100000,xgboost,HummingbirdPytorchGPU,122125.76627731323,226.35293006896973,380.18250465393066,51.39422416687012,25362.15829849243,25793.799877166748
