query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,HummingbirdPytorchGPU,820.321798324585,4727.126598358154,2261.495351791382,30.24601936340332,160609.91024971008,162901.7038345337
1000,1000,randomforest,HummingbirdPytorchGPU,817.695140838623,37.04714775085449,59.667110443115234,28.519153594970703,4376.728534698486,4464.969158172607
10000,10000,randomforest,HummingbirdPytorchGPU,820.7495212554932,37.1088981628418,15.622377395629883,29.327392578125,4386.1517906188965,4431.155443191528
56962,56962,randomforest,HummingbirdPytorchGPU,826.972246170044,36.94009780883789,7.706165313720703,30.284404754638672,4368.074893951416,4406.124830245972
100,100,randomforest,HummingbirdTorchScriptGPU,819.563627243042,36.974191665649414,6735.674858093262,30.149459838867188,3668.2238578796387,10434.10325050354
1000,1000,randomforest,HummingbirdTorchScriptGPU,826.810359954834,37.11199760437012,821.1104869842529,31.229019165039062,3156.1384201049805,4008.531332015991
10000,10000,randomforest,HummingbirdTorchScriptGPU,818.5250759124756,37.0945930480957,542.3698425292969,28.521060943603516,3155.341148376465,3726.2845039367676
56962,56962,randomforest,HummingbirdTorchScriptGPU,822.7996826171875,36.95201873779297,531.2731266021729,30.10272979736328,3171.753168106079,3733.1957817077637
100,100,randomforest,ONNXGPU,825.1011371612549,36.88406944274902,146.2407112121582,40.839433670043945,111165.09485244751,111352.2367477417
1000,1000,randomforest,ONNXGPU,831.0422897338867,37.145376205444336,32.63401985168457,41.60332679748535,1320.359468460083,1394.6421146392822
10000,10000,randomforest,ONNXGPU,820.9717273712158,37.069082260131836,27.062654495239258,40.37904739379883,1328.0057907104492,1395.496129989624
56962,56962,randomforest,ONNXGPU,819.4868564605713,36.873579025268555,24.05714988708496,30.088186264038086,1326.9503116607666,1381.1426162719727
100,100,randomforest,HummingbirdTVMGPU,821.7453956604004,37.110328674316406,164.95490074157715,28.771162033081055,43410.39323806763,43604.180097579956
1000,1000,randomforest,HummingbirdTVMGPU,831.5074443817139,36.940574645996094,24.253129959106445,28.68938446044922,28360.52894592285,28413.530349731445
10000,10000,randomforest,HummingbirdTVMGPU,833.8027000427246,37.18137741088867,10.699748992919922,28.714656829833984,28560.481071472168,28599.95412826538
56962,56962,randomforest,HummingbirdTVMGPU,819.5199966430664,37.13870048522949,8.185386657714844,28.212547302246094,14127.919673919678,14164.37816619873
100,100,randomforest,NvidiaFILGPU,826.4353275299072,36.91601753234863,3470.4196453094482,13.601064682006836,178807.11436271667,182291.19658470154
1000,1000,randomforest,NvidiaFILGPU,825.1078128814697,37.067413330078125,138.28110694885254,13.60630989074707,2415.1611328125,2567.1017169952393
10000,10000,randomforest,NvidiaFILGPU,822.3142623901367,37.35852241516113,117.51365661621094,13.67640495300293,2430.938720703125,2562.181234359741
56962,56962,randomforest,NvidiaFILGPU,838.8724327087402,37.27126121520996,117.41375923156738,13.612985610961914,2422.760009765625,2553.845167160034
100,100,xgboost,HummingbirdPytorchGPU,831.7418098449707,209.66076850891113,545.2060699462891,29.660463333129883,4234.3339920043945,4809.248924255371
1000,1000,xgboost,HummingbirdPytorchGPU,820.6183910369873,207.3807716369629,64.26477432250977,30.47013282775879,4255.3112506866455,4350.09241104126
10000,10000,xgboost,HummingbirdPytorchGPU,822.6912021636963,129.2703151702881,15.625476837158203,29.449939727783203,4221.627950668335,4266.754627227783
56962,56962,xgboost,HummingbirdPytorchGPU,814.9373531341553,120.78619003295898,7.684230804443359,28.25474739074707,4207.240343093872,4243.231534957886
100,100,xgboost,HummingbirdTorchScriptGPU,822.1015930175781,205.40571212768555,4076.1923789978027,28.7320613861084,3006.9687366485596,7111.949443817139
1000,1000,xgboost,HummingbirdTorchScriptGPU,821.751594543457,207.55457878112793,1086.6193771362305,30.071020126342773,3048.9816665649414,4165.740013122559
10000,10000,xgboost,HummingbirdTorchScriptGPU,820.4638957977295,122.21693992614746,1329.4036388397217,28.584957122802734,3012.5138759613037,4370.556831359863
56962,56962,xgboost,HummingbirdTorchScriptGPU,829.7483921051025,117.60091781616211,1014.2536163330078,28.43308448791504,3026.716470718384,4069.467067718506
100,100,xgboost,ONNXGPU,822.033166885376,131.09564781188965,876.3184547424316,41.27931594848633,471.97747230529785,1389.6377086639404
1000,1000,xgboost,ONNXGPU,819.5464611053467,143.57900619506836,865.9052848815918,41.033029556274414,470.4453945159912,1377.434253692627
10000,10000,xgboost,ONNXGPU,819.7994232177734,126.28293037414551,859.8065376281738,41.00608825683594,471.8761444091797,1372.7471828460693
56962,56962,xgboost,ONNXGPU,826.8716335296631,110.56780815124512,870.3653812408447,39.107322692871094,470.1204299926758,1379.648208618164
100,100,xgboost,HummingbirdTVMGPU,820.9419250488281,210.37602424621582,162.644624710083,28.804779052734375,11931.69641494751,12123.209953308105
1000,1000,xgboost,HummingbirdTVMGPU,822.7405548095703,133.09645652770996,24.408817291259766,28.37228775024414,28498.83985519409,28551.68581008911
10000,10000,xgboost,HummingbirdTVMGPU,834.6612453460693,129.40430641174316,10.842323303222656,28.703689575195312,28630.578756332397,28670.185565948486
56962,56962,xgboost,HummingbirdTVMGPU,822.6323127746582,210.58940887451172,7.91478157043457,28.787612915039062,14007.136344909668,14043.90001296997
100,100,xgboost,NvidiaFILGPU,820.7273483276367,210.89696884155273,475.45576095581055,13.190031051635742,2580.7337760925293,3069.4425106048584
1000,1000,xgboost,NvidiaFILGPU,831.1727046966553,209.93995666503906,137.2692584991455,13.113975524902344,2602.5614738464355,2753.0035972595215
10000,10000,xgboost,NvidiaFILGPU,834.3343734741211,134.06729698181152,118.60227584838867,13.07225227355957,2585.9601497650146,2717.6921367645264
56962,56962,xgboost,NvidiaFILGPU,821.0086822509766,210.87956428527832,109.97915267944336,13.06462287902832,2605.576992034912,2728.6808490753174
100,100,xgboost,XGBoostGPU,823.6720561981201,212.50653266906738,23818.498373031616,27.985811233520508,0.0,23848.34361076355
1000,1000,xgboost,XGBoostGPU,823.0459690093994,111.10043525695801,1598.0045795440674,27.846336364746094,0.0,1627.7661323547363
10000,10000,xgboost,XGBoostGPU,824.5670795440674,130.56468963623047,1536.3149642944336,31.17537498474121,0.0,1569.3738460540771
56962,56962,xgboost,XGBoostGPU,824.1150379180908,134.3364715576172,1532.2811603546143,29.01172637939453,0.0,1563.187599182129
100,100,lightgbm,HummingbirdPytorchGPU,820.0199604034424,915.8837795257568,561.4025592803955,29.570341110229492,3870.164394378662,4461.1876010894775
1000,1000,lightgbm,HummingbirdPytorchGPU,820.5173015594482,555.077314376831,62.56675720214844,28.316974639892578,3849.9491214752197,3940.8769607543945
10000,10000,lightgbm,HummingbirdPytorchGPU,821.0976123809814,553.4043312072754,15.371084213256836,29.11520004272461,3854.588747024536,3899.1262912750244
56962,56962,lightgbm,HummingbirdPytorchGPU,821.5906620025635,553.5461902618408,7.476329803466797,28.167009353637695,3841.3302898406982,3877.0241737365723
100,100,lightgbm,HummingbirdTorchScriptGPU,823.1847286224365,556.2822818756104,1511.1911296844482,28.841018676757812,3276.8373489379883,4816.937685012817
1000,1000,lightgbm,HummingbirdTorchScriptGPU,833.9097499847412,559.3690872192383,933.2575798034668,28.554916381835938,3256.4687728881836,4218.335151672363
10000,10000,lightgbm,HummingbirdTorchScriptGPU,824.7261047363281,553.6627769470215,1255.0690174102783,28.429031372070312,3258.867025375366,4542.424917221069
56962,56962,lightgbm,HummingbirdTorchScriptGPU,817.4257278442383,553.7185668945312,883.507251739502,30.739784240722656,3288.379669189453,4202.691316604614
100,100,lightgbm,ONNXGPU,819.6957111358643,552.0710945129395,81.95710182189941,35.35914421081543,1404.7694206237793,1522.1498012542725
1000,1000,lightgbm,ONNXGPU,821.1498260498047,554.5916557312012,38.4368896484375,41.838645935058594,1408.1003665924072,1488.4381294250488
10000,10000,lightgbm,ONNXGPU,827.5537490844727,560.8820915222168,30.191659927368164,43.239593505859375,1411.548376083374,1485.029935836792
56962,56962,lightgbm,ONNXGPU,818.3646202087402,554.1410446166992,36.96084022521973,34.14273262023926,1411.2777709960938,1482.4352264404297
100,100,lightgbm,HummingbirdTVMGPU,822.5061893463135,553.9088249206543,163.726806640625,29.07872200012207,11409.953355789185,11602.825164794922
1000,1000,lightgbm,HummingbirdTVMGPU,826.5018463134766,584.561824798584,24.51634407043457,28.683185577392578,28216.202974319458,28269.46449279785
10000,10000,lightgbm,HummingbirdTVMGPU,820.5966949462891,563.2338523864746,10.735750198364258,29.0219783782959,28211.97462081909,28251.792430877686
56962,56962,lightgbm,HummingbirdTVMGPU,820.0244903564453,555.8459758758545,7.282495498657227,28.510332107543945,13812.995910644531,13848.844528198242
100,100,lightgbm,NvidiaFILGPU,822.4201202392578,555.7541847229004,389.00208473205566,13.693094253540039,2422.178268432617,2824.930429458618
1000,1000,lightgbm,NvidiaFILGPU,824.4225978851318,556.2717914581299,144.8969841003418,13.669252395629883,2417.5753593444824,2576.19309425354
10000,10000,lightgbm,NvidiaFILGPU,824.7201442718506,553.2622337341309,117.91825294494629,14.091014862060547,2424.652576446533,2556.7169189453125
56962,56962,lightgbm,NvidiaFILGPU,821.739673614502,580.8923244476318,120.91398239135742,96.61507606506348,2437.8981590270996,2655.498266220093
