query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1,1,randomforest,HummingbirdPytorchGPU,5342.885494232178,713.3224010467529,1815293.8351631165,1228.262186050415,15539.287567138672,1832061.4624023438
10,10,randomforest,HummingbirdPytorchGPU,5066.972017288208,511.883020401001,190574.20992851257,1130.7709217071533,12305.479764938354,204010.5345249176
100,100,randomforest,HummingbirdPytorchGPU,4972.088098526001,515.9475803375244,19933.371543884277,1200.6704807281494,12271.20065689087,33405.31873703003
1000,1000,randomforest,HummingbirdPytorchGPU,4972.987174987793,523.7014293670654,13572.876453399658,1106.2695980072021,12277.517318725586,26956.736087799072
10000,10000,randomforest,HummingbirdPytorchGPU,4969.093561172485,515.1576995849609,13056.96702003479,1128.25345993042,12290.098428726196,26475.394010543823
100000,100000,randomforest,HummingbirdPytorchGPU,4969.725847244263,512.7377510070801,13114.256858825684,1119.0903186798096,12338.462114334106,26571.916818618774
1,1,randomforest,HummingbirdTorchScriptGPU,4976.203441619873,502.1836757659912,1171811.7125034332,1144.059181213379,11676.372289657593,1184632.2224140167
10,10,randomforest,HummingbirdTorchScriptGPU,4982.0075035095215,506.44755363464355,125877.82192230225,1176.349401473999,11600.078344345093,138654.32572364807
100,100,randomforest,HummingbirdTorchScriptGPU,4982.039451599121,512.4902725219727,14251.01923942566,1204.719066619873,11815.968751907349,27271.778106689453
1000,1000,randomforest,HummingbirdTorchScriptGPU,4975.530624389648,512.3305320739746,9152.235746383667,1212.4145030975342,11499.181747436523,21863.904237747192
10000,10000,randomforest,HummingbirdTorchScriptGPU,4975.409984588623,515.6641006469727,8569.297075271606,1149.0833759307861,12100.392580032349,21818.84813308716
1,1,randomforest,ONNXGPU,4974.691390991211,514.8630142211914,431564.0993118286,1165.9457683563232,17800.281286239624,450530.3819179535
10,10,randomforest,ONNXGPU,4994.497060775757,509.5832347869873,1247965.401172638,1100.9256839752197,15093.584775924683,1264159.9671840668
100,100,randomforest,ONNXGPU,4959.156036376953,518.1179046630859,89778.39374542236,1107.4326038360596,15161.044359207153,106046.9298362732
1000,1000,randomforest,ONNXGPU,4970.746994018555,509.3197822570801,65256.4582824707,1181.3466548919678,15122.142553329468,81560.00542640686
10000,10000,randomforest,ONNXGPU,4975.51155090332,510.10704040527344,50835.599184036255,1101.4931201934814,15155.426502227783,67092.58127212524
100000,100000,randomforest,ONNXGPU,4968.0657386779785,507.4129104614258,51085.251569747925,1098.9844799041748,15122.549057006836,67306.8470954895
2200000,2200000,randomforest,ONNXGPU,4975.580930709839,504.15945053100586,51385.98299026489,1102.0331382751465,15109.628438949585,67597.70679473877
1,1,randomforest,HummingbirdTVMGPU,4969.058990478516,504.4097900390625,570602.3316383362,1140.760898590088,17085.83974838257,588829.0164470673
10,10,randomforest,HummingbirdTVMGPU,4974.141836166382,505.23900985717773,60490.38481712341,1155.1241874694824,17191.343545913696,78836.93504333496
100,100,randomforest,HummingbirdTVMGPU,4964.630603790283,507.37905502319336,8759.888648986816,1135.5016231536865,17141.681432724,27037.155866622925
1000,1000,randomforest,HummingbirdTVMGPU,4975.164413452148,507.702112197876,4126.602411270142,1129.3580532073975,22471.781492233276,27727.829933166504
10000,10000,randomforest,HummingbirdTVMGPU,4982.819318771362,514.8937702178955,3647.5534439086914,1127.1874904632568,31493.257999420166,36268.08047294617
100000,100000,randomforest,HummingbirdTVMGPU,4982.691287994385,507.5488090515137,3476.9980907440186,1145.007848739624,111738.49511146545,116360.59355735779
1,1,randomforest,NvidiaFILGPU,7460.8659744262695,712.515115737915,1038683.8138103485,593.7628746032715,6201.453447341919,1045479.1054725647
10,10,randomforest,NvidiaFILGPU,4962.683916091919,512.7537250518799,125195.0249671936,582.3242664337158,2779.7164916992188,128557.1403503418
100,100,randomforest,NvidiaFILGPU,4991.780757904053,507.4648857116699,14317.520380020142,594.3343639373779,2775.669813156128,17687.60108947754
1000,1000,randomforest,NvidiaFILGPU,4972.913503646851,511.554479598999,3095.754384994507,593.1844711303711,2779.3970108032227,6468.407869338989
10000,10000,randomforest,NvidiaFILGPU,4976.248264312744,504.3530464172363,3422.3766326904297,600.9647846221924,2805.1164150238037,6828.535079956055
100000,100000,randomforest,NvidiaFILGPU,4976.488351821899,518.599271774292,3545.3014373779297,586.9815349578857,2782.8710079193115,6915.23551940918
2200000,2200000,randomforest,NvidiaFILGPU,4979.434967041016,512.6724243164062,3790.3201580047607,593.4734344482422,2815.953493118286,7199.832916259766
1,1,xgboost,HummingbirdPytorchGPU,4972.134828567505,513.4315490722656,1940243.8895702362,1113.2888793945312,73601.64833068848,2014958.9087963104
10,10,xgboost,HummingbirdPytorchGPU,4968.58549118042,344.3613052368164,200488.37542533875,1116.581678390503,70513.22793960571,272118.2701587677
