query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1,1,randomforest,HummingbirdPytorchGPU,5000.467777252197,653.5069942474365,1903393.5174942017,1206.1982154846191,16131.543397903442,1920731.338262558
10,10,randomforest,HummingbirdPytorchGPU,5093.216896057129,510.8671188354492,193132.018327713,1169.6743965148926,12626.222610473633,206927.98852920532
100,100,randomforest,HummingbirdPytorchGPU,4906.075477600098,506.58440589904785,19840.723514556885,1103.6608219146729,12562.993288040161,33507.4520111084
1000,1000,randomforest,HummingbirdPytorchGPU,4910.569190979004,501.42407417297363,13587.78977394104,1130.7611465454102,12197.768449783325,26916.39232635498
10000,10000,randomforest,HummingbirdPytorchGPU,4907.873630523682,504.2104721069336,13058.09473991394,1103.3523082733154,12377.421617507935,26538.94281387329
100000,100000,randomforest,HummingbirdPytorchGPU,4917.021989822388,498.612642288208,13104.426860809326,1179.0685653686523,12122.768640518188,26406.34036064148
1,1,randomforest,HummingbirdTorchScriptGPU,4906.367778778076,504.2731761932373,1208361.2112998962,1124.6681213378906,11602.077960968018,1221088.0291461945
10,10,randomforest,HummingbirdTorchScriptGPU,4951.7152309417725,510.8320713043213,126706.11214637756,1120.5503940582275,11720.821142196655,139547.5571155548
100,100,randomforest,HummingbirdTorchScriptGPU,4958.4856033325195,510.836124420166,14403.79810333252,1135.2159976959229,11684.611320495605,27223.699808120728
1000,1000,randomforest,HummingbirdTorchScriptGPU,4974.591970443726,507.1682929992676,9172.263145446777,1160.8572006225586,11852.110862731934,22185.301065444946
10000,10000,randomforest,HummingbirdTorchScriptGPU,4958.384037017822,510.6797218322754,8560.458183288574,1118.5081005096436,11827.741622924805,21506.78014755249
1,1,randomforest,ONNXGPU,4965.48056602478,504.52470779418945,405519.1841125488,1167.9589748382568,18093.01471710205,424780.20882606506
10,10,randomforest,ONNXGPU,4909.523248672485,508.5787773132324,1182347.4683761597,1185.4147911071777,15340.76976776123,1198873.7080097198
100,100,randomforest,ONNXGPU,4968.54305267334,517.188549041748,86597.9437828064,1166.2886142730713,14489.873170852661,102254.1561126709
1000,1000,randomforest,ONNXGPU,4959.763526916504,511.3205909729004,57425.32968521118,1132.0364475250244,14665.158987045288,73222.580909729
10000,10000,randomforest,ONNXGPU,4960.317134857178,524.7106552124023,51130.22565841675,1116.6350841522217,15341.997861862183,67588.91677856445
100000,100000,randomforest,ONNXGPU,4964.346885681152,514.6024227142334,51169.84820365906,1092.165231704712,15331.528425216675,67593.61553192139
2200000,2200000,randomforest,ONNXGPU,4958.617925643921,508.1355571746826,51702.95524597168,1172.9099750518799,15288.853406906128,68164.78323936462
1,1,randomforest,HummingbirdTVMGPU,4969.890356063843,512.3987197875977,574121.1373806,1130.8672428131104,17973.546028137207,593225.6464958191
10,10,randomforest,HummingbirdTVMGPU,5018.340826034546,511.65103912353516,60588.28139305115,1129.4987201690674,17653.340816497803,79371.20771408081
100,100,randomforest,HummingbirdTVMGPU,4958.92596244812,567.0816898345947,8766.472339630127,1218.7459468841553,17963.27304840088,27948.57096672058
1000,1000,randomforest,HummingbirdTVMGPU,4990.208148956299,504.8365592956543,4104.439735412598,1143.3486938476562,22907.23490715027,28155.1034450531
10000,10000,randomforest,HummingbirdTVMGPU,4968.060731887817,505.48410415649414,3672.7848052978516,1117.234230041504,31679.51250076294,36469.608783721924
100000,100000,randomforest,HummingbirdTVMGPU,4960.453748703003,513.2613182067871,3539.1130447387695,1126.8517971038818,112782.1946144104,117448.26936721802
1,1,randomforest,NvidiaFILGPU,7461.775064468384,703.7515640258789,1060611.4008426666,589.7090435028076,6074.626445770264,1067275.8059501648
10,10,randomforest,NvidiaFILGPU,4907.855987548828,511.4254951477051,121380.02038002014,584.6898555755615,2688.258171081543,124653.03826332092
100,100,randomforest,NvidiaFILGPU,4905.586004257202,510.15377044677734,14379.515409469604,589.0028476715088,2713.259220123291,17681.84208869934
1000,1000,randomforest,NvidiaFILGPU,4909.735441207886,516.2508487701416,3092.592239379883,590.5048847198486,2699.2454528808594,6382.407426834106
10000,10000,randomforest,NvidiaFILGPU,4909.226655960083,507.23814964294434,3448.9188194274902,587.108850479126,2704.284429550171,6740.376949310303
100000,100000,randomforest,NvidiaFILGPU,4916.850805282593,497.88975715637207,3538.4292602539062,586.2534046173096,2700.9518146514893,6825.705528259277
2200000,2200000,randomforest,NvidiaFILGPU,4921.987295150757,504.32300567626953,3789.741039276123,613.3077144622803,2720.8919525146484,7124.028921127319
