query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1000,1000,randomforest,HummingbirdPytorchGPU,63061.108112335205,169.97551918029785,19308.205127716064,6070.369482040405,60735.95833778381,86114.61544036865
10000,10000,randomforest,HummingbirdPytorchGPU,62127.750635147095,43.128252029418945,4323.593378067017,6054.024696350098,4111.564874649048,14489.26830291748
100000,100000,randomforest,HummingbirdPytorchGPU,62068.424701690674,39.835214614868164,2586.7385864257812,6001.399517059326,4083.779811859131,12672.000408172607
1000000,1000000,randomforest,HummingbirdPytorchGPU,62025.699853897095,40.28463363647461,2284.6221923828125,6048.746347427368,3999.220371246338,12332.677364349365
10000000,10000000,randomforest,HummingbirdPytorchGPU,62374.109745025635,41.534423828125,2475.3496646881104,5987.023830413818,4045.5946922302246,12508.200407028198
100000000,100000000,randomforest,HummingbirdPytorchGPU,62227.57387161255,45.288801193237305,2364.854574203491,6191.994667053223,4234.612464904785,12792.098760604858
131564160,131564160,randomforest,HummingbirdPytorchGPU,61950.81353187561,41.38803482055664,2350.5818843841553,5963.237285614014,4151.769161224365,12466.204643249512
1000,1000,randomforest,HummingbirdTorchScriptGPU,62025.48027038574,40.57049751281738,22632.947206497192,6267.945289611816,3837.7010822296143,32738.678693771362
10000,10000,randomforest,HummingbirdTorchScriptGPU,62381.37769699097,39.88337516784668,3615.6697273254395,6174.363851547241,3219.848871231079,13009.958028793335
100000,100000,randomforest,HummingbirdTorchScriptGPU,62068.09687614441,40.314435958862305,2791.170835494995,6291.829347610474,3278.493642807007,12361.575841903687
1000000,1000000,randomforest,HummingbirdTorchScriptGPU,61889.750480651855,40.827035903930664,2622.4610805511475,6099.281787872314,3478.4107208251953,12200.252056121826
10000000,10000000,randomforest,HummingbirdTorchScriptGPU,62164.559841156006,42.98090934753418,2739.288806915283,6194.421768188477,4871.320724487305,13806.984663009644
100000000,100000000,randomforest,HummingbirdTorchScriptGPU,62158.30898284912,40.425777435302734,2452.7244567871094,6197.5202560424805,7241.662263870239,15899.61290359497
131564160,131564160,randomforest,HummingbirdTorchScriptGPU,62431.824922561646,41.63193702697754,2440.3374195098877,6259.099245071411,7224.3969440460205,15931.455135345459
1000,1000,randomforest,ONNXGPU,62167.346239089966,45.96066474914551,9962.44764328003,6054.5172691345215,148840.7895565033,164857.8224182129
10000,10000,randomforest,ONNXGPU,62289.02316093445,41.04900360107422,8259.522676467896,6098.682403564453,1366.1069869995117,15724.371671676636
100000,100000,randomforest,ONNXGPU,62361.656665802,41.28074645996094,12032.35149383545,6301.96738243103,1422.4934577941895,19756.879568099976
1000000,1000000,randomforest,ONNXGPU,62001.92332267761,38.95378112792969,13416.564464569092,5971.193313598633,1379.8234462738037,20767.651319503784
10000000,10000000,randomforest,ONNXGPU,62164.38007354736,42.54722595214844,12964.585542678833,6056.713342666626,1393.5205936431885,20414.89005088806
100000000,100000000,randomforest,ONNXGPU,62199.01514053345,40.31014442443848,14302.371263504028,6085.679531097412,1391.0088539123535,21779.128789901733
131564160,131564160,randomforest,ONNXGPU,62723.42658042908,42.06037521362305,14303.480863571167,5994.441986083984,1421.5500354766846,21719.54894065857
1000,1000,randomforest,HummingbirdTVMGPU,61903.37657928467,40.49539566040039,9586.462497711182,6240.755558013916,45595.165967941284,61422.47748374939
10000,10000,randomforest,HummingbirdTVMGPU,62125.83613395691,40.87543487548828,3364.5451068878174,6267.756223678589,8859.148263931274,18491.531372070312
100000,100000,randomforest,HummingbirdTVMGPU,62098.39653968811,44.61550712585449,2503.171443939209,6291.122198104858,9040.580034255981,17834.962844848633
1000000,1000000,randomforest,HummingbirdTVMGPU,62233.44969749451,40.281057357788086,2160.8686447143555,6176.536321640015,12030.35283088684,20367.859840393066
10000000,10000000,randomforest,HummingbirdTVMGPU,62377.586364746094,40.017127990722656,2210.415840148926,6103.727340698242,57718.94145011902,66033.19334983826
100000000,100000000,randomforest,HummingbirdTVMGPU,61905.95507621765,40.929317474365234,2193.4759616851807,6373.991966247559,163878.8824081421,172446.44951820374
131564160,131564160,randomforest,HummingbirdTVMGPU,62053.20596694946,40.3902530670166,2202.484130859375,6188.725709915161,164195.6639289856,172587.22805976868
1000,1000,randomforest,NvidiaFILGPU,62968.130588531494,41.33296012878418,20792.48094558716,6110.3363037109375,214727.63872146606,241630.53393363953
10000,10000,randomforest,NvidiaFILGPU,62163.94877433777,40.31872749328613,5054.97670173645,6059.201240539551,2556.422233581543,13670.680522918701
100000,100000,randomforest,NvidiaFILGPU,62217.77534484863,39.563894271850586,3961.5724086761475,6218.243837356567,2517.679214477539,12697.567224502563
1000000,1000000,randomforest,NvidiaFILGPU,62252.64596939087,42.40918159484863,3852.537155151367,6184.285402297974,2565.864324569702,12602.780103683472
10000000,10000000,randomforest,NvidiaFILGPU,62190.11116027832,40.818214416503906,4003.0462741851807,6071.8255043029785,2597.77569770813,12672.9257106781
100000000,100000000,randomforest,NvidiaFILGPU,61879.50849533081,40.03000259399414,4040.7333374023438,6085.179328918457,2507.194757461548,12633.652210235596
131564160,131564160,randomforest,NvidiaFILGPU,61870.15748023987,42.098045349121094,4126.05094909668,6052.200555801392,2603.487968444824,12782.298803329468
1000,1000,xgboost,HummingbirdPytorchGPU,62206.94971084595,210.4487419128418,33803.10082435608,6016.682147979736,3815.669536590576,43635.53237915039
10000,10000,xgboost,HummingbirdPytorchGPU,62234.54403877258,205.2590847015381,3953.498125076294,6069.94891166687,3786.5333557128906,13810.065507888794
100000,100000,xgboost,HummingbirdPytorchGPU,62150.16222000122,207.73673057556152,2620.6483840942383,6197.792053222656,3936.736583709717,12755.27024269104
1000000,1000000,xgboost,HummingbirdPytorchGPU,62365.347146987915,206.76350593566895,2282.494068145752,6063.152551651001,3742.544174194336,12088.282108306885
10000000,10000000,xgboost,HummingbirdPytorchGPU,62150.19631385803,210.1428508758545,2429.3646812438965,6196.979999542236,3926.1322021484375,12552.71291732788
100000000,100000000,xgboost,HummingbirdPytorchGPU,62186.83886528015,208.12153816223145,2292.410135269165,6098.431825637817,3913.1932258605957,12304.62908744812
131564160,131564160,xgboost,HummingbirdPytorchGPU,61953.7308216095,212.69679069519043,2361.772298812866,5971.142768859863,3968.7349796295166,12302.275657653809
1000,1000,xgboost,HummingbirdTorchScriptGPU,61915.24434089661,216.22133255004883,16462.504148483276,7970.42989730835,3327.4755477905273,27760.48994064331
10000,10000,xgboost,HummingbirdTorchScriptGPU,62280.534744262695,208.12273025512695,4319.668292999268,6106.7054271698,3405.2512645721436,13831.70771598816
100000,100000,xgboost,HummingbirdTorchScriptGPU,62053.59077453613,205.82008361816406,3449.6045112609863,6200.762033462524,3315.464735031128,12965.914487838745
1000000,1000000,xgboost,HummingbirdTorchScriptGPU,62066.53308868408,207.6561450958252,3235.731840133667,6081.462383270264,3392.5423622131348,12709.829330444336
10000000,10000000,xgboost,HummingbirdTorchScriptGPU,62357.24449157715,209.95092391967773,3210.883378982544,6281.26335144043,4300.015449523926,13794.116258621216
100000000,100000000,xgboost,HummingbirdTorchScriptGPU,62355.03792762756,207.88002014160156,2472.9864597320557,6133.567571640015,5458.3024978637695,14072.539329528809
131564160,131564160,xgboost,HummingbirdTorchScriptGPU,62047.693967819214,218.6868190765381,2414.2563343048096,6157.599687576294,5482.512712478638,14061.99598312378
1000,1000,xgboost,ONNXGPU,62141.8092250824,219.06018257141113,7266.905069351196,6155.501365661621,481.95838928222656,13904.428482055664
10000,10000,xgboost,ONNXGPU,62154.829263687134,211.8537425994873,6503.124475479126,6162.159204483032,483.5240840911865,13148.873090744019
100000,100000,xgboost,ONNXGPU,62003.578424453735,212.14604377746582,6890.5651569366455,5983.111143112183,482.79857635498047,13356.541633605957
1000000,1000000,xgboost,ONNXGPU,62145.84422111511,209.38491821289062,8987.529277801514,6468.873500823975,496.7389106750488,15953.211545944214
10000000,10000000,xgboost,ONNXGPU,61978.171825408936,210.01434326171875,8819.4739818573,6028.195381164551,477.8280258178711,15325.755596160889
100000000,100000000,xgboost,ONNXGPU,62232.837200164795,211.71188354492188,8569.159269332886,6029.932260513306,491.1818504333496,15090.928554534912
131564160,131564160,xgboost,ONNXGPU,61909.68585014343,212.85295486450195,8829.972982406616,6120.039939880371,490.1857376098633,15440.822124481201
1000,1000,xgboost,HummingbirdTVMGPU,62442.80815124512,213.05513381958008,12788.294076919556,6183.949708938599,5712.741374969482,24685.07957458496
10000,10000,xgboost,HummingbirdTVMGPU,62530.42554855347,212.2366428375244,4607.948541641235,6259.900808334351,5040.755987167358,15908.687591552734
100000,100000,xgboost,HummingbirdTVMGPU,61946.117639541626,210.921049118042,3644.42777633667,6307.183265686035,5144.380331039429,15096.092939376831
1000000,1000000,xgboost,HummingbirdTVMGPU,62298.27117919922,210.7253074645996,3457.120895385742,6183.909893035889,6383.9240074157715,16025.058507919312
10000000,10000000,xgboost,HummingbirdTVMGPU,61840.81220626831,211.42029762268066,3694.4000720977783,6258.5601806640625,20440.249919891357,30393.311977386475
1000,1000,xgboost,NvidiaFILGPU,62390.62690734863,219.3927764892578,15742.549657821655,6099.202871322632,2707.181215286255,24549.00813102722
10000,10000,xgboost,NvidiaFILGPU,61864.23683166504,211.7760181427002,4104.525566101074,6204.866170883179,2696.49076461792,13005.955934524536
100000,100000,xgboost,NvidiaFILGPU,62116.15872383118,211.55691146850586,3090.3098583221436,6536.365509033203,2752.3369789123535,12379.096031188965
1000000,1000000,xgboost,NvidiaFILGPU,61854.387044906616,212.40949630737305,2723.1452465057373,6101.223945617676,2744.0426349639893,11568.508386611938
10000000,10000000,xgboost,NvidiaFILGPU,61885.28776168823,212.09120750427246,2941.702365875244,6148.613452911377,2786.630392074585,11877.042293548584
100000000,100000000,xgboost,NvidiaFILGPU,61972.131967544556,210.3126049041748,2517.582654953003,6151.189088821411,2711.1151218414307,11380.219221115112
131564160,131564160,xgboost,NvidiaFILGPU,61994.763135910034,212.80217170715332,2511.9476318359375,6184.814453125,2656.1176776885986,11353.21831703186
1000,1000,xgboost,XGBoostGPU,61948.56405258179,211.134672164917,70595.06797790527,6216.789484024048,0.0,76813.86685371399
10000,10000,xgboost,XGBoostGPU,61847.0561504364,209.03444290161133,9215.839624404907,6039.552688598633,0.0,15257.38549232483
100000,100000,xgboost,XGBoostGPU,61793.41721534729,208.4023952484131,5224.154472351074,6097.983360290527,0.0,11324.156761169434
1000000,1000000,xgboost,XGBoostGPU,62304.57544326782,211.6708755493164,5430.058002471924,6304.373025894165,0.0,11736.428499221802
10000000,10000000,xgboost,XGBoostGPU,61924.98183250427,210.7551097869873,5391.605615615845,6154.148578643799,0.0,11547.722339630127
100000000,100000000,xgboost,XGBoostGPU,62695.75476646423,211.17734909057617,5384.7336769104,6117.305755615234,0.0,11503.988027572632
131564160,131564160,xgboost,XGBoostGPU,63887.90059089661,210.0670337677002,5402.400255203247,6090.178489685059,0.0,11494.658470153809
1000,1000,lightgbm,HummingbirdPytorchGPU,61947.107791900635,1025.3946781158447,12574.492454528809,6032.333850860596,3387.08758354187,21993.987560272217
10000,10000,lightgbm,HummingbirdPytorchGPU,61766.438007354736,597.7003574371338,3859.0564727783203,6090.981483459473,3385.234594345093,13335.352420806885
100000,100000,lightgbm,HummingbirdPytorchGPU,61792.263984680176,566.5249824523926,2517.327308654785,6214.308023452759,3390.019416809082,12121.733665466309
1000000,1000000,lightgbm,HummingbirdPytorchGPU,61974.785804748535,580.6946754455566,2213.087320327759,6149.756908416748,3350.423574447632,11713.346004486084
10000000,10000000,lightgbm,HummingbirdPytorchGPU,62113.11364173889,609.9441051483154,2378.6792755126953,6061.699628829956,3481.7800521850586,11922.389030456543
100000000,100000000,lightgbm,HummingbirdPytorchGPU,62069.69141960144,595.0126647949219,2221.623182296753,6006.0484409332275,3445.9755420684814,11674.277782440186
131564160,131564160,lightgbm,HummingbirdPytorchGPU,62189.05854225159,584.876537322998,2220.6482887268066,5993.111133575439,3401.656150817871,11616.008281707764
1000,1000,lightgbm,HummingbirdTorchScriptGPU,61702.42738723755,570.3885555267334,13824.947357177734,6130.723237991333,3426.245927810669,23381.99257850647
10000,10000,lightgbm,HummingbirdTorchScriptGPU,61892.833948135376,598.5391139984131,4254.932165145874,6237.10298538208,3460.1399898529053,13952.256917953491
100000,100000,lightgbm,HummingbirdTorchScriptGPU,62035.20584106445,595.1976776123047,3310.7213973999023,6372.019290924072,3482.54656791687,13165.369272232056
1000000,1000000,lightgbm,HummingbirdTorchScriptGPU,61537.32991218567,619.6126937866211,3144.3099975585938,6213.10830116272,3564.958333969116,12922.46127128601
10000000,10000000,lightgbm,HummingbirdTorchScriptGPU,61983.50286483765,588.1633758544922,3142.536401748657,6234.115123748779,4314.483404159546,13693.06492805481
100000000,100000000,lightgbm,HummingbirdTorchScriptGPU,61964.136838912964,589.1449451446533,2547.6231575012207,6161.577939987183,5422.29700088501,14139.194250106812
131564160,131564160,lightgbm,HummingbirdTorchScriptGPU,61865.41271209717,564.725399017334,2380.209445953369,6286.159038543701,5298.279523849487,13972.270727157593
1000,1000,lightgbm,ONNXGPU,61923.21801185608,581.8283557891846,14278.41329574585,6011.571407318115,1485.896110534668,21775.949239730835
10000,10000,lightgbm,ONNXGPU,62217.710733413696,580.5788040161133,8581.864833831787,6069.623708724976,1455.6910991668701,16107.240915298462
100000,100000,lightgbm,ONNXGPU,62075.81043243408,581.411600112915,8719.53272819519,6105.958700180054,1435.286283493042,16260.839462280273
1000000,1000000,lightgbm,ONNXGPU,61716.85004234314,573.3683109283447,13666.085004806519,5908.949375152588,1441.396713256836,21016.496896743774
10000000,10000000,lightgbm,ONNXGPU,61636.0969543457,609.7733974456787,13785.874128341675,5941.964149475098,1464.5030498504639,21192.410230636597
100000000,100000000,lightgbm,ONNXGPU,61665.71354866028,572.021484375,14269.760847091675,6154.074430465698,1443.6256885528564,21867.52986907959
131564160,131564160,lightgbm,ONNXGPU,62324.833154678345,585.4394435882568,13838.394403457642,6276.548147201538,1442.8565502166748,21557.865858078003
1000,1000,lightgbm,HummingbirdTVMGPU,61845.96562385559,570.6441402435303,11821.41089439392,6234.645843505859,4457.912921905518,22514.054775238037
10000,10000,lightgbm,HummingbirdTVMGPU,61619.577169418335,581.1057090759277,4708.454847335815,6168.740749359131,4525.413513183594,15402.695655822754
100000,100000,lightgbm,HummingbirdTVMGPU,62010.45370101929,587.4507427215576,3613.5308742523193,6221.089601516724,4727.628231048584,14562.331676483154
1000000,1000000,lightgbm,HummingbirdTVMGPU,62151.94821357727,595.4673290252686,3073.7290382385254,6184.539079666138,5634.603500366211,14892.967939376831
10000000,10000000,lightgbm,HummingbirdTVMGPU,62024.05786514282,569.8497295379639,3432.769298553467,6080.659866333008,16826.58553123474,26340.11483192444
100000000,100000000,lightgbm,HummingbirdTVMGPU,61543.52045059204,599.428653717041,4170.384645462036,6367.559432983398,41840.13223648071,52378.4236907959
131564160,131564160,lightgbm,HummingbirdTVMGPU,61534.65151786804,578.2196521759033,4187.9847049713135,6182.992696762085,41840.327978134155,52211.650371551514
1000,1000,lightgbm,NvidiaFILGPU,61995.77355384827,591.881275177002,16944.095611572266,6111.045598983765,2540.5433177948,25595.76678276062
10000,10000,lightgbm,NvidiaFILGPU,61794.681787490845,596.8198776245117,4924.285173416138,6132.199048995972,2508.9917182922363,13565.552711486816
100000,100000,lightgbm,NvidiaFILGPU,62066.2899017334,573.7411975860596,3619.4825172424316,6291.623115539551,2443.772315979004,12354.956865310669
