query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,HummingbirdPytorchGPU,32362.992763519287,222.84650802612305,206333.84728431702,11329.448223114014,9269.594192504883,226932.95860290527
1000,1000,randomforest,HummingbirdPytorchGPU,33088.93704414368,40.73500633239746,29807.366847991943,12397.40252494812,4077.3932933807373,46282.23896026611
10000,10000,randomforest,HummingbirdPytorchGPU,32612.9412651062,39.86382484436035,5561.8932247161865,11320.140600204468,4059.3271255493164,20941.436290740967
100000,100000,randomforest,HummingbirdPytorchGPU,31603.14965248108,39.61634635925293,2676.3274669647217,11278.253555297852,4080.608606338501,18035.26282310486
1000000,1000000,randomforest,HummingbirdPytorchGPU,31777.318716049194,40.221214294433594,2761.036157608032,11258.000135421753,4090.8799171447754,18109.99608039856
23013804,23013804,randomforest,HummingbirdPytorchGPU,31529.25181388855,39.437055587768555,2601.911783218384,11337.496995925903,4011.629343032837,17951.555967330933
100,100,randomforest,HummingbirdTorchScriptGPU,32569.718599319458,40.38047790527344,136056.7455291748,12455.878496170044,3964.4384384155273,152477.1490097046
1000,1000,randomforest,HummingbirdTorchScriptGPU,32570.241928100586,39.328575134277344,16146.905899047852,11852.902889251709,3313.5812282562256,31313.46106529236
10000,10000,randomforest,HummingbirdTorchScriptGPU,31770.139455795288,39.917707443237305,3833.4522247314453,11669.193029403687,3344.2275524139404,18846.945762634277
100000,100000,randomforest,HummingbirdTorchScriptGPU,31456.745147705078,40.02809524536133,2890.453338623047,11745.006322860718,3368.759870529175,18004.295349121094
1000000,1000000,randomforest,HummingbirdTorchScriptGPU,32007.015228271484,40.38119316101074,2966.4011001586914,12399.908304214478,3573.6823081970215,18940.073251724243
23013804,23013804,randomforest,HummingbirdTorchScriptGPU,31647.6891040802,40.14730453491211,2598.6905097961426,13481.765270233154,9835.211038589478,25924.00574684143
100,100,randomforest,ONNXGPU,32798.25687408447,41.10860824584961,25454.089403152466,11371.279239654541,81216.10021591187,118041.52798652649
1000,1000,randomforest,ONNXGPU,32423.98166656494,39.52813148498535,13310.32133102417,12378.77869606018,1355.4420471191406,27044.610738754272
10000,10000,randomforest,ONNXGPU,32841.63236618042,40.326595306396484,9141.624450683594,11627.987146377563,1344.0759181976318,22113.755464553833
100000,100000,randomforest,ONNXGPU,32559.16166305542,39.64996337890625,11594.926595687866,12711.487531661987,1357.3355674743652,25663.81597518921
1000000,1000000,randomforest,ONNXGPU,32572.75390625,39.89148139953613,13078.757762908936,12699.133396148682,1352.1687984466553,27130.133152008057
23013804,23013804,randomforest,ONNXGPU,31909.59882736206,39.79158401489258,13390.541076660156,11557.583570480347,1357.604742050171,26305.802822113037
100,100,randomforest,HummingbirdTVMGPU,31464.22839164734,39.71099853515625,68335.23273468018,13565.973997116089,37442.41189956665,119343.71304512024
1000,1000,randomforest,HummingbirdTVMGPU,32719.354391098022,39.818525314331055,9410.510301589966,13083.52518081665,28963.62590789795,51457.75270462036
10000,10000,randomforest,HummingbirdTVMGPU,31916.566371917725,40.369510650634766,3227.299451828003,13838.829517364502,28289.87145423889,45356.08720779419
100000,100000,randomforest,HummingbirdTVMGPU,32309.92031097412,40.01283645629883,2364.1207218170166,12858.68787765503,27076.810598373413,42299.70169067383
1000000,1000000,randomforest,HummingbirdTVMGPU,32251.214265823364,39.499521255493164,2402.604341506958,11420.332908630371,33101.319789886475,46924.33547973633
23013804,23013804,randomforest,HummingbirdTVMGPU,32688.0841255188,40.34423828125,2251.3437271118164,11645.271062850952,150408.77437591553,164305.8123588562
100,100,randomforest,NvidiaFILGPU,32437.000274658203,39.65878486633301,114477.42438316345,8346.13561630249,7106.450796127319,129930.07755279541
1000,1000,randomforest,NvidiaFILGPU,32258.586883544922,39.734840393066406,15585.473775863647,8658.404111862183,2463.4459018707275,26707.396507263184
10000,10000,randomforest,NvidiaFILGPU,32381.329774856567,39.697885513305664,4863.682985305786,8607.738494873047,2438.1680488586426,15909.664869308472
100000,100000,randomforest,NvidiaFILGPU,33117.73133277893,40.149688720703125,3841.3314819335938,8678.39789390564,2442.5148963928223,14962.312698364258
1000000,1000000,randomforest,NvidiaFILGPU,32457.37361907959,40.10963439941406,4251.499891281128,8922.637224197388,2432.863235473633,15607.072353363037
23013804,23013804,randomforest,NvidiaFILGPU,32888.0455493927,39.5050048828125,7376.353979110718,9199.318170547485,2448.5960006713867,19024.77264404297
100,100,xgboost,HummingbirdPytorchGPU,32675.315618515015,211.49873733520508,212820.23406028748,12746.785640716553,4267.958641052246,229835.04843711853
1000,1000,xgboost,HummingbirdPytorchGPU,32300.097703933716,205.51586151123047,24044.345378875732,12314.653158187866,4283.9765548706055,40643.0401802063
10000,10000,xgboost,HummingbirdPytorchGPU,31476.242780685425,207.78942108154297,4785.880088806152,12290.191411972046,4276.15761756897,21352.306127548218
100000,100000,xgboost,HummingbirdPytorchGPU,31806.553840637207,209.44643020629883,2629.7895908355713,12663.30099105835,4263.9265060424805,19557.09195137024
1000000,1000000,xgboost,HummingbirdPytorchGPU,31324.05924797058,207.12018013000488,2709.1400623321533,13390.198945999146,4250.069856643677,20349.486112594604
23013804,23013804,xgboost,HummingbirdPytorchGPU,32127.726554870605,208.8160514831543,2589.2629623413086,13097.524881362915,4273.738861083984,19961.057424545288
100,100,xgboost,HummingbirdTorchScriptGPU,31373.176336288452,217.83018112182617,141522.16839790344,11953.06372642517,3706.2811851501465,157181.5972328186
1000,1000,xgboost,HummingbirdTorchScriptGPU,31777.2216796875,209.52177047729492,17186.957836151123,11623.80599975586,3554.0030002593994,32364.834308624268
10000,10000,xgboost,HummingbirdTorchScriptGPU,31497.472047805786,206.22706413269043,4629.819393157959,13513.949394226074,3555.812358856201,21699.653148651123
100000,100000,xgboost,HummingbirdTorchScriptGPU,31437.652826309204,208.55140686035156,3187.0508193969727,12135.575532913208,3543.164014816284,18865.857124328613
1000000,1000000,xgboost,HummingbirdTorchScriptGPU,31764.970779418945,206.53057098388672,3264.6684646606445,11625.05292892456,3782.5140953063965,18672.301292419434
23013804,23013804,xgboost,HummingbirdTorchScriptGPU,31366.66464805603,212.6147747039795,2728.3899784088135,13284.832239151001,9931.628227233887,25953.239917755127
100,100,xgboost,ONNXGPU,32096.641778945923,220.3531265258789,28211.307287216187,13297.157764434814,1332.3864936828613,42840.919971466064
1000,1000,xgboost,ONNXGPU,31497.287273406982,209.67888832092285,14662.75143623352,12674.8206615448,1331.8157196044922,28669.452667236328
10000,10000,xgboost,ONNXGPU,32070.012092590332,212.2504711151123,9669.86894607544,12780.441284179688,1332.355260848999,23782.73296356201
100000,100000,xgboost,ONNXGPU,32256.933450698853,211.89570426940918,11220.448732376099,13404.053211212158,1343.9066410064697,25968.47915649414
1000000,1000000,xgboost,ONNXGPU,32722.124576568604,209.08188819885254,14864.807844161987,11832.428693771362,1328.9430141448975,28026.24249458313
23013804,23013804,xgboost,ONNXGPU,31319.16332244873,209.21921730041504,15112.059354782104,11364.169359207153,1332.0114612579346,27808.303356170654
100,100,xgboost,HummingbirdTVMGPU,31447.230339050293,211.61484718322754,64130.06687164307,11672.964572906494,12431.880712509155,88234.9922657013
1000,1000,xgboost,HummingbirdTVMGPU,32911.046743392944,211.90834045410156,8632.462978363037,11630.374431610107,28855.296850204468,49118.22009086609
10000,10000,xgboost,HummingbirdTVMGPU,31858.2284450531,211.69233322143555,3171.447515487671,13254.422426223755,29234.911680221558,45660.86840629578
100000,100000,xgboost,HummingbirdTVMGPU,32322.072982788086,208.9824676513672,2370.3458309173584,13055.224657058716,28688.287019729614,44113.954305648804
1000000,1000000,xgboost,HummingbirdTVMGPU,31942.974090576172,209.27667617797852,2356.6720485687256,13217.78392791748,33708.53805541992,49283.08033943176
23013804,23013804,xgboost,HummingbirdTVMGPU,32499.217987060547,211.7013931274414,2199.7087001800537,12473.57439994812,148374.04346466064,163047.73807525635
100,100,xgboost,NvidiaFILGPU,32723.30951690674,216.06945991516113,113967.23771095276,7019.124507904053,2625.303268432617,123611.73629760742
1000,1000,xgboost,NvidiaFILGPU,32697.57843017578,209.63597297668457,14201.809883117676,8799.2582321167,2621.7331886291504,25622.87139892578
10000,10000,xgboost,NvidiaFILGPU,32768.38779449463,211.30728721618652,4062.6039505004883,8800.750255584717,2603.1033992767334,15466.527462005615
100000,100000,xgboost,NvidiaFILGPU,32232.500791549683,211.0459804534912,3234.8852157592773,8908.998012542725,2643.5086727142334,14787.472009658813
1000000,1000000,xgboost,NvidiaFILGPU,32532.56869316101,212.8140926361084,3189.71848487854,9436.490058898926,2620.783805847168,15247.071504592896
23013804,23013804,xgboost,NvidiaFILGPU,32572.395086288452,210.36505699157715,2984.419345855713,6185.127019882202,2628.9639472961426,11798.847436904907
100,100,xgboost,XGBoostGPU,32212.54873275757,211.1985683441162,353638.733625412,11468.06788444519,0.0,365108.7167263031
1000,1000,xgboost,XGBoostGPU,32583.74071121216,212.74280548095703,40124.239444732666,11203.3109664917,0.0,51329.43940162659
10000,10000,xgboost,XGBoostGPU,32920.87745666504,211.7023468017578,10964.79320526123,11922.172546386719,0.0,22888.882875442505
100000,100000,xgboost,XGBoostGPU,32686.521768569946,214.19787406921387,7636.449813842773,12321.007013320923,0.0,19959.36942100525
1000000,1000000,xgboost,XGBoostGPU,32334.975481033325,209.1817855834961,8645.82371711731,11825.724363327026,0.0,20473.453998565674
23013804,23013804,xgboost,XGBoostGPU,32556.674480438232,208.77623558044434,8608.539819717407,12163.110256195068,0.0,20773.536920547485
