query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,xgboost,ONNXGPU,18107.133865356445,320.26171684265137,78057.17301368713,115.22555351257324,5893.115520477295,84065.58561325073
1000,1000,xgboost,ONNXGPU,18354.86388206482,333.81128311157227,8263.92912864685,126.79696083068848,1162.3711585998535,9553.15637588501
10000,10000,xgboost,ONNXGPU,18208.102703094482,336.2088203430176,8076.723098754883,113.25216293334961,1148.4050750732422,9338.433980941772
236750,236750,xgboost,ONNXGPU,18356.542110443115,336.1783027648926,14107.069253921509,114.19987678527832,1158.8993072509766,15380.236387252808
100,100,xgboost,XGBoostGPU,18790.57288169861,327.7320861816406,194246.21558189392,116.33062362670898,0.0,194364.48001861572
1000,1000,xgboost,XGBoostGPU,19175.01664161682,337.1908664703369,21670.09472846985,112.11466789245605,0.0,21784.213542938232
10000,10000,xgboost,XGBoostGPU,19211.668729782104,335.524320602417,9451.909303665161,113.7540340423584,0.0,9567.623376846313
236750,236750,xgboost,XGBoostGPU,19305.220365524292,340.08026123046875,10911.120891571045,118.36600303649902,0.0,11031.512022018433
100,100,lightgbm,ONNXGPU,18904.966831207275,128.62229347229004,7132.909536361694,115.15617370605469,1978.5704612731934,9226.72152519226
1000,1000,lightgbm,ONNXGPU,18991.75000190735,128.68976593017578,5592.141628265381,112.33067512512207,1956.7930698394775,7661.3264083862305
10000,10000,lightgbm,ONNXGPU,18879.11605834961,126.78766250610352,7907.425880432129,111.35435104370117,1951.056957244873,9969.897985458374
236750,236750,lightgbm,ONNXGPU,19172.52540588379,128.83472442626953,17957.858562469482,111.39917373657227,1978.2519340515137,20047.577381134033
