query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,randomforest,Sklearn,149701.58171653748,1044.325828552246,332065.72556495667,70.38021087646484,0.0,332136.1622810364
1000,1000,randomforest,Sklearn,153855.286359787,696.6321468353271,62518.79572868347,73.16803932189941,0.0,62592.01979637146
10000,10000,randomforest,Sklearn,151873.91805648804,693.7398910522461,8845.829963684082,70.06335258483887,0.0,8915.953636169434
100000,100000,randomforest,Sklearn,154608.63709449768,673.5951900482178,5061.131954193115,65.52720069885254,0.0,5126.714706420898
100,100,randomforest,HummingbirdTVMCPU,150932.85655975342,693.976640701294,4468.926429748535,170.23348808288574,24501.838445663452,29141.090631484985
1000,1000,randomforest,HummingbirdTVMCPU,151813.51351737976,712.9268646240234,5902.493476867676,175.75955390930176,19484.007120132446,25562.355518341064
10000,10000,randomforest,HummingbirdTVMCPU,152167.65999794006,700.9780406951904,5553.589820861816,179.66485023498535,31833.831787109375,37567.185401916504
100000,100000,randomforest,HummingbirdTVMCPU,156237.08200454712,709.0752124786377,5544.061183929443,176.41615867614746,142834.9735736847,148555.55629730225
100,100,randomforest,ONNXCPU,159041.86701774597,694.2932605743408,7390.376806259155,86.60745620727539,1611.0868453979492,9088.14811706543
1000,1000,randomforest,ONNXCPU,150998.31008911133,675.9090423583984,4741.347551345825,79.88548278808594,1363.8968467712402,6185.203313827515
10000,10000,randomforest,ONNXCPU,155043.41554641724,699.5706558227539,7292.686939239502,75.80041885375977,1374.5908737182617,8743.15595626831
100000,100000,randomforest,ONNXCPU,152203.67288589478,677.191972732544,8453.131198883057,69.39387321472168,1371.0596561431885,9893.656969070435
100,100,xgboost,Sklearn,154415.92860221863,317.70873069763184,15464.164018630981,69.78988647460938,0.0,15534.005165100098
1000,1000,xgboost,Sklearn,152575.18315315247,169.6634292602539,4217.228412628174,65.69981575012207,0.0,4282.9883098602295
10000,10000,xgboost,Sklearn,154611.46783828735,163.67077827453613,3857.619524002075,69.46969032287598,0.0,3927.1514415740967
100000,100000,xgboost,Sklearn,157993.79587173462,168.6720848083496,5118.530035018921,66.98322296142578,0.0,5185.574769973755
100,100,xgboost,TreeLite,156916.0361289978,167.2224998474121,9209.278345108032,176.4395236968994,7.571697235107422,9393.430709838867
1000,1000,xgboost,TreeLite,152283.51163864136,168.7757968902588,8395.87116241455,166.95332527160645,1.356363296508789,8564.3150806427
10000,10000,xgboost,TreeLite,157949.5222568512,167.67263412475586,6652.242660522461,167.27304458618164,1.2097358703613281,6820.855379104614
100000,100000,xgboost,TreeLite,159084.94639396667,167.18697547912598,8402.448415756226,137.09163665771484,1.2836456298828125,8659.170389175415
100,100,xgboost,HummingbirdTVMCPU,160939.9163722992,166.92328453063965,5233.949899673462,173.2470989227295,92684.04650688171,98091.34006500244
1000,1000,xgboost,HummingbirdTVMCPU,152987.5819683075,168.9474582672119,3668.951988220215,169.42143440246582,91528.7435054779,95367.20752716064
10000,10000,xgboost,HummingbirdTVMCPU,154881.53433799744,168.26534271240234,5676.910400390625,168.15662384033203,103303.37953567505,109148.54335784912
100000,100000,xgboost,HummingbirdTVMCPU,154114.6535873413,168.0738925933838,5521.769285202026,176.1949062347412,217399.89304542542,223097.95427322388
