query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1,1,randomforest,Sklearn,953.2167912,638.2577419,13182054.76,41.71514511,0,13182096.53
10,10,randomforest,Sklearn,938.4944439,603.8665771,1318768.05,40.153265,0,1318808.254
100,100,randomforest,Sklearn,904.4249058,592.2856331,147206.7044,39.72864151,0,147246.4802
1000,1000,randomforest,Sklearn,911.1738205,628.0856133,33817.95502,38.60092163,0,33856.59409
10000,10000,randomforest,Sklearn,902.6799202,616.0778999,4535.647869,38.80381584,0,4574.508429
56962,56962,randomforest,Sklearn,929.2280674,649.7476101,1199.34845,37.56690025,0,1236.963272
1,1,randomforest,HummingbirdPytorchCPU,928.2851219,617.3791885,46795.58516,39.61849213,4124.844313,50960.11066
10,10,randomforest,HummingbirdPytorchCPU,908.0221653,633.9628696,11564.01849,40.26293755,4203.166246,15807.51252
100,100,randomforest,HummingbirdPytorchCPU,924.7918129,597.9819298,5910.337448,40.70591927,4197.741508,10148.85163
1000,1000,randomforest,HummingbirdPytorchCPU,915.4129028,594.9542522,5330.327511,42.48356819,4121.589661,9494.473934
10000,10000,randomforest,HummingbirdPytorchCPU,912.6055241,632.5953007,12151.97873,40.90619087,4149.857283,16342.80872
56962,56962,randomforest,HummingbirdPytorchCPU,926.831007,620.3930378,12067.08026,39.79897499,4068.630457,16175.57335
1,1,randomforest,HummingbirdTorchScriptCPU,935.6629848,631.6006184,27713.8052,40.8372879,4468.445063,32223.16623
10,10,randomforest,HummingbirdTorchScriptCPU,897.4061012,603.1460762,7656.303167,38.05541992,4309.007883,12003.41535
100,100,randomforest,HummingbirdTorchScriptCPU,920.0747013,618.3354855,4637.547255,38.84196281,4353.456259,9029.911041
1000,1000,randomforest,HummingbirdTorchScriptCPU,907.0773125,596.1716175,4132.118464,39.46280479,5050.842524,9222.496748
10000,10000,randomforest,HummingbirdTorchScriptCPU,901.1685848,648.9973068,10581.68721,39.63184357,15120.33463,25741.71519
56962,56962,randomforest,HummingbirdTorchScriptCPU,917.3953533,642.9975033,10057.92594,39.83187675,64408.95224,74506.77729
1,1,randomforest,HummingbirdTVMCPU,924.0298271,627.7635098,27445.17422,95.3400135,10365.01908,37905.61867
10,10,randomforest,HummingbirdTVMCPU,916.4216518,636.2793446,4514.712811,102.1504402,18092.71169,22709.66721
100,100,randomforest,HummingbirdTVMCPU,918.5798168,624.8421669,1951.653004,97.48649597,18133.92234,20183.15291
1000,1000,randomforest,HummingbirdTVMCPU,926.2831211,622.0235825,1731.027126,95.74055672,18662.78625,20489.65168
10000,10000,randomforest,HummingbirdTVMCPU,909.7924232,608.5095406,1821.878195,96.13609314,36042.42444,37960.67214
56962,56962,randomforest,HummingbirdTVMCPU,923.8116741,635.794878,1993.68453,95.68548203,69567.65747,71657.11904
56962,1,randomforest,TFDF,906.0590267,605.2935123,83538.88726,40.66514969,15952.29435,99531.90756
56962,10,randomforest,TFDF,909.6300602,657.9141617,12941.81585,38.73181343,16342.69977,29323.31085
56962,100,randomforest,TFDF,923.7389565,629.0171146,5934.27825,39.7810936,16202.27623,22176.39685
56962,1000,randomforest,TFDF,911.2296104,606.3621044,5194.377661,39.94512558,15768.08357,21002.44689
56962,10000,randomforest,TFDF,929.5525551,598.9844799,5127.054214,40.24362564,15369.94243,20537.29653
56962,56962,randomforest,TFDF,901.4678001,609.5750332,5014.852762,40.38715363,15541.47887,20596.77553
1,1,randomforest,ONNXCPU,899.8942375,603.0321121,4637.390852,51.59235001,390.478611,5079.532623
10,10,randomforest,ONNXCPU,925.7752895,617.777586,21462.74567,40.42673111,302.4113178,21805.65095
100,100,randomforest,ONNXCPU,914.3161774,623.9311695,540.8010483,51.45788193,296.974659,889.3008232
1000,1000,randomforest,ONNXCPU,931.353569,595.2830315,440.1462078,51.09477043,290.7729149,782.0696831
10000,10000,randomforest,ONNXCPU,901.6184807,602.3519039,426.4156818,48.58326912,303.3351898,778.393507
56962,56962,randomforest,ONNXCPU,898.2303143,598.1800556,449.6541023,37.45365143,313.5640621,800.7354736
1,1,xgboost,Sklearn,903.9564133,68.36056709,160745.3218,38.63620758,0,160784.0123
10,10,xgboost,Sklearn,916.7461395,65.74964523,18133.03375,45.01461983,0,18178.10345
100,100,xgboost,Sklearn,910.9823704,65.30427933,2867.357731,37.73021698,0,2905.140162
1000,1000,xgboost,Sklearn,902.2743702,64.07499313,453.7043571,40.34686089,0,494.0924644
10000,10000,xgboost,Sklearn,937.8314018,66.43557549,316.4505959,39.62516785,0,356.1301231
56962,56962,xgboost,Sklearn,935.3249073,64.40782547,290.5099392,38.54393959,0,329.1037083
1,1,xgboost,TreeLite,919.24119,65.6440258,7941.257715,156.9113731,1.209497452,8099.442482
10,10,xgboost,TreeLite,920.0739861,64.70131874,1956.106901,95.62158585,1.162528992,2052.989244
100,100,xgboost,TreeLite,921.2563038,66.21456146,605.2932739,97.51272202,1.10578537,704.0126324
1000,1000,xgboost,TreeLite,925.4150391,67.54207611,451.4365196,96.76194191,1.197576523,549.5028496
10000,10000,xgboost,TreeLite,921.4806557,64.55636024,434.0693951,100.9659767,1.185178757,536.3428593
56962,56962,xgboost,TreeLite,909.2421532,64.39709663,429.6729565,95.31521797,1.285552979,526.4101028
1,1,xgboost,HummingbirdPytorchCPU,906.7988396,66.00689888,48467.22364,41.09621048,2929.330111,51437.70933
10,10,xgboost,HummingbirdPytorchCPU,916.2709713,64.35799599,12491.97125,40.04669189,2925.494194,15457.57508
100,100,xgboost,HummingbirdPytorchCPU,915.7290459,65.37008286,6169.9965,39.06226158,2955.741405,9164.866924
1000,1000,xgboost,HummingbirdPytorchCPU,898.5099792,66.68639183,5154.554367,39.71672058,2944.482803,8138.814688
10000,10000,xgboost,HummingbirdPytorchCPU,913.1236076,63.99273872,12172.76835,43.84207726,2977.281332,15193.96043
56962,56962,xgboost,HummingbirdPytorchCPU,926.6102314,66.83397293,12041.64481,39.31760788,3000.135183,15081.16174
1,1,xgboost,HummingbirdTorchScriptCPU,930.9062958,66.22457504,27225.86203,44.09456253,3110.514879,30380.52082
10,10,xgboost,HummingbirdTorchScriptCPU,930.6387901,68.75109673,7893.224478,39.36219215,3113.749981,11046.39578
