query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1,1,randomforest,Sklearn,5933.525801,53.75385284,10459199.13,1478.244543,0,10460677.43
10,10,randomforest,Sklearn,6119.91024,52.74796486,1067777.056,1592.882156,0,1069369.992
100,100,randomforest,Sklearn,5868.780136,52.81639099,116643.0626,1670.759916,0,118313.8716
1000,1000,randomforest,Sklearn,5863.790035,52.56652832,15275.18368,1511.101246,0,16786.34477
10000,10000,randomforest,Sklearn,5848.009825,52.66785622,1990.453243,1427.445412,0,3417.950392
100000,100000,randomforest,Sklearn,5898.341417,53.56764793,883.3320141,1575.964212,0,2459.347725
2200000,2200000,randomforest,Sklearn,5876.731396,52.22558975,877.18606,1568.912745,0,2446.164608
1,1,randomforest,HummingbirdPytorchCPU,5890.347242,52.81043053,1179574.213,1499.818325,1797.620773,1182871.719
10,10,randomforest,HummingbirdPytorchCPU,6135.47039,52.19388008,130958.5841,1475.861311,1768.834591,134203.3472
100,100,randomforest,HummingbirdPytorchCPU,5926.234007,52.00242996,16117.0814,1535.156965,1794.210911,19446.52271
1000,1000,randomforest,HummingbirdPytorchCPU,5965.363264,53.97748947,3439.758301,1490.627527,1798.165798,6728.622198
10000,10000,randomforest,HummingbirdPytorchCPU,5910.988569,51.96070671,1541.938066,1665.755749,1769.406557,4977.172613
100000,100000,randomforest,HummingbirdPytorchCPU,5793.814659,52.07252502,1262.499094,1457.826853,1773.624659,4494.018555
2200000,2200000,randomforest,HummingbirdPytorchCPU,5845.050812,52.05082893,3109.971046,1541.230679,1776.913643,6428.207874
1,1,randomforest,HummingbirdTorchScriptCPU,6007.472038,52.19984055,642314.6446,1528.18656,2010.361671,645853.2562
10,10,randomforest,HummingbirdTorchScriptCPU,5974.321365,52.495718,63202.63505,1526.613474,1931.605101,66660.91609
100,100,randomforest,HummingbirdTorchScriptCPU,5968.415499,52.24728584,8403.202057,1467.610359,1936.754227,11807.63078
1000,1000,randomforest,HummingbirdTorchScriptCPU,5980.467796,51.96785927,2362.119198,1646.956682,1923.418283,5932.558298
10000,10000,randomforest,HummingbirdTorchScriptCPU,6004.472256,52.90365219,1546.06986,1712.387085,1981.557131,5240.089655
100000,100000,randomforest,HummingbirdTorchScriptCPU,6151.6366,51.87821388,1219.643831,1559.672832,2355.166435,5134.553194
2200000,2200000,randomforest,HummingbirdTorchScriptCPU,5919.740915,52.32167244,2838.692904,1514.492512,16924.68429,21277.94671
