query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,xgboost,HummingbirdPytorchGPU,5083.351612091064,210.4339599609375,21556.569814682007,1223.9665985107422,4296.24080657959,27076.895475387573
1,1,randomforest,HummingbirdPytorchGPU,5035.027980804443,172.43361473083496,1858622.8251457214,1158.6167812347412,8005.313396453857,1867786.8332862854
10,10,randomforest,HummingbirdPytorchGPU,5030.298233032227,40.82512855529785,189371.50740623474,1255.0480365753174,4112.393617630005,194739.02702331543
100,100,randomforest,HummingbirdPytorchGPU,5085.224866867065,41.22447967529297,19850.83055496216,1218.2908058166504,4151.704788208008,25220.903873443604
1000,1000,randomforest,HummingbirdPytorchGPU,5016.876935958862,40.99416732788086,2258.056640625,1233.931303024292,4122.448205947876,7614.508390426636
10000,10000,randomforest,HummingbirdPytorchGPU,5012.356996536255,40.02094268798828,497.1611499786377,1110.703706741333,4021.2602615356445,5629.194259643555
100000,100000,randomforest,HummingbirdPytorchGPU,4987.643003463745,40.235280990600586,314.1152858734131,1107.0621013641357,3990.877866744995,5412.125110626221
2200000,2200000,randomforest,HummingbirdPytorchGPU,4970.237255096436,39.578914642333984,268.66769790649414,1101.4726161956787,3975.2700328826904,5345.488786697388
1,1,randomforest,HummingbirdTorchScriptGPU,4949.327707290649,39.88814353942871,1178319.7329044342,1226.1488437652588,3554.0943145751953,1183100.05569458
10,10,randomforest,HummingbirdTorchScriptGPU,4971.232891082764,40.65346717834473,121302.80590057373,1225.2516746520996,3258.4588527679443,125786.60130500793
100,100,randomforest,HummingbirdTorchScriptGPU,4987.151384353638,40.39287567138672,13203.688144683838,1123.8691806793213,3237.49041557312,17565.12141227722
1000,1000,randomforest,HummingbirdTorchScriptGPU,4955.7952880859375,39.818525314331055,2113.861322402954,1197.319746017456,3188.633441925049,6499.88579750061
10000,10000,randomforest,HummingbirdTorchScriptGPU,4964.112043380737,40.668487548828125,912.7113819122314,1249.6399879455566,3253.983974456787,5416.414260864258
100000,100000,randomforest,HummingbirdTorchScriptGPU,5003.677606582642,39.9470329284668,811.7034435272217,1123.2914924621582,3266.5963172912598,5201.668739318848
2200000,2200000,randomforest,HummingbirdTorchScriptGPU,4975.025653839111,41.207075119018555,761.6448402404785,1121.016502380371,3998.744010925293,5881.497383117676
1,1,randomforest,ONNXGPU,4988.084316253662,39.81637954711914,101402.64129638672,1074.178695678711,44954.61106300354,147431.48732185364
10,10,randomforest,ONNXGPU,4909.30962562561,39.24965858459473,13177.016973495483,1093.4429168701172,1313.6546611785889,15584.168672561646
100,100,randomforest,ONNXGPU,4896.776914596558,39.23177719116211,2683.049201965332,1205.1150798797607,1311.450719833374,5199.671268463135
1000,1000,randomforest,ONNXGPU,4901.748418807983,39.66927528381348,1157.7847003936768,1084.343433380127,1307.0218563079834,3549.204111099243
10000,10000,randomforest,ONNXGPU,4910.207509994507,39.556264877319336,1314.8982524871826,1112.4682426452637,1316.0881996154785,3743.510961532593
100000,100000,randomforest,ONNXGPU,4934.189319610596,39.48521614074707,1405.5769443511963,1080.9135437011719,1310.8258247375488,3797.3811626434326
