query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
1000,1000,xgboost,Sklearn,5974.6434688568115,178.14373970031738,6787.583827972412,1535.6900691986084,0.0,8323.338747024536
1,1,lightgbm,Sklearn,6117.876768112183,703.4871578216553,838177.8557300568,1528.374433517456,0.0,839706.298828125
10,10,lightgbm,Sklearn,6062.933921813965,687.7949237823486,83581.73966407776,1681.7991733551025,0.0,85263.60845565796
100,100,lightgbm,Sklearn,6209.220170974731,691.3490295410156,9416.904211044312,1523.5373973846436,0.0,10940.510034561157
1000,1000,lightgbm,Sklearn,5907.423496246338,690.6766891479492,1810.3382587432861,1519.780158996582,0.0,3330.1892280578613
10000,10000,lightgbm,Sklearn,6108.825206756592,685.2400302886963,992.3741817474365,1587.0394706726074,0.0,2579.4873237609863
100000,100000,lightgbm,Sklearn,6136.9030475616455,681.7183494567871,754.7259330749512,1862.5707626342773,0.0,2617.370367050171
2200000,2200000,lightgbm,Sklearn,6095.147609710693,688.3852481842041,798.9165782928467,1621.17338180542,0.0,2420.1700687408447
1,1,lightgbm,TreeLite,6071.599960327148,684.9925518035889,156508.06045532227,6107.048273086548,3.3445358276367188,162618.53408813477
10,10,lightgbm,TreeLite,6097.61118888855,680.4487705230713,32668.01404953003,1767.087459564209,1.6033649444580078,34436.81836128235
100,100,lightgbm,TreeLite,6113.45648765564,687.8948211669922,4416.9487953186035,1788.5863780975342,1.3365745544433594,6206.971168518066
1000,1000,lightgbm,TreeLite,6055.377006530762,691.8418407440186,1144.8590755462646,1740.107536315918,1.5566349029541016,2886.6212368011475
10000,10000,lightgbm,TreeLite,5932.624816894531,686.896800994873,721.3163375854492,1813.1513595581055,1.4374256134033203,2536.008596420288
100000,100000,lightgbm,TreeLite,5969.717979431152,680.9713840484619,698.2650756835938,1802.4568557739258,1.4417171478271484,2506.904363632202
2200000,2200000,lightgbm,TreeLite,6067.297697067261,688.6913776397705,897.7117538452148,1647.050380706787,1.4226436614990234,2576.387405395508
1,1,lightgbm,HummingbirdPytorchCPU,6124.453783035278,700.2546787261963,1281869.502067566,1621.4017868041992,6150.20489692688,1289641.1917209625
10,10,lightgbm,HummingbirdPytorchCPU,5905.987739562988,684.7026348114014,145808.06493759155,1615.5579090118408,1344.249963760376,148767.9467201233
100,100,lightgbm,HummingbirdPytorchCPU,5968.593120574951,693.3214664459229,16577.29458808899,1650.3934860229492,1350.985050201416,19578.74894142151
1000,1000,lightgbm,HummingbirdPytorchCPU,5982.551097869873,681.3292503356934,3584.8968029022217,1538.470983505249,1342.2677516937256,6465.712070465088
10000,10000,lightgbm,HummingbirdPytorchCPU,5968.255043029785,691.145658493042,1808.5353374481201,1566.2083625793457,1310.9731674194336,4685.804128646851
100000,100000,lightgbm,HummingbirdPytorchCPU,5880.30743598938,677.487850189209,1317.1131610870361,1619.3675994873047,1325.298547744751,4261.864185333252
2200000,2200000,lightgbm,HummingbirdPytorchCPU,5937.921047210693,688.5509490966797,3079.8020362854004,1706.479787826538,1342.2741889953613,6128.645420074463
1,1,lightgbm,HummingbirdTorchScriptCPU,5986.644744873047,688.173770904541,660057.1253299713,1642.7972316741943,1561.7661476135254,663261.7697715759
10,10,lightgbm,HummingbirdTorchScriptCPU,5915.567874908447,686.7825984954834,69297.57785797119,1573.8041400909424,1489.3083572387695,72360.76736450195
100,100,lightgbm,HummingbirdTorchScriptCPU,5911.170959472656,696.3036060333252,8858.626127243042,1503.6656856536865,1459.5603942871094,11821.958303451538
1000,1000,lightgbm,HummingbirdTorchScriptCPU,5917.93155670166,682.1715831756592,2400.036573410034,1482.7070236206055,1496.1915016174316,5379.0082931518555
10000,10000,lightgbm,HummingbirdTorchScriptCPU,5922.790050506592,681.7827224731445,1704.3137550354004,1575.5174160003662,1544.1327095031738,4824.052810668945
100000,100000,lightgbm,HummingbirdTorchScriptCPU,6006.629943847656,680.84716796875,1333.9402675628662,1756.1874389648438,1930.0174713134766,5020.2317237854
2200000,2200000,lightgbm,HummingbirdTorchScriptCPU,6054.689884185791,674.4742393493652,2888.780355453491,1505.9635639190674,16350.029468536377,20744.866847991943
1,1,lightgbm,HummingbirdTVMCPU,6081.892251968384,686.8593692779541,521595.4144001007,1581.5362930297852,7641.724109649658,530818.7773227692
10,10,lightgbm,HummingbirdTVMCPU,6167.057991027832,682.7867031097412,100393.4543132782,1712.1269702911377,14827.175617218018,116932.85179138184
100,100,lightgbm,HummingbirdTVMCPU,5964.241981506348,699.2707252502441,11485.587358474731,1901.362419128418,14971.705913543701,28358.741760253906
1000,1000,lightgbm,HummingbirdTVMCPU,5966.391801834106,690.1779174804688,2130.922555923462,1803.0955791473389,11614.936351776123,15549.04294013977
10000,10000,lightgbm,HummingbirdTVMCPU,6049.004077911377,674.7424602508545,1131.1912536621094,1687.4029636383057,11548.754215240479,14367.435455322266
100000,100000,lightgbm,HummingbirdTVMCPU,5988.9044761657715,685.4758262634277,1025.9795188903809,1819.2830085754395,12041.780948638916,14887.154817581177
2200000,2200000,lightgbm,HummingbirdTVMCPU,6070.38426399231,692.0764446258545,1231.1124801635742,1675.5919456481934,26477.45704650879,29384.279489517212
1,1,lightgbm,ONNXCPU,5931.714773178101,696.8491077423096,45457.207679748535,1528.1949043273926,232.67030715942383,47218.15037727356
10,10,lightgbm,ONNXCPU,5938.701629638672,689.0759468078613,12834.612607955933,1619.6346282958984,35.18557548522949,14489.51244354248
100,100,lightgbm,ONNXCPU,5993.858575820923,694.2734718322754,4153.861522674561,1556.410789489746,37.40382194519043,5747.761964797974
1000,1000,lightgbm,ONNXCPU,5996.316432952881,683.2613945007324,2374.4900226593018,1475.2421379089355,35.20917892456055,3885.032892227173
10000,10000,lightgbm,ONNXCPU,6276.962757110596,687.3464584350586,2239.880084991455,1633.6791515350342,38.47336769104004,3912.1198654174805
100000,100000,lightgbm,ONNXCPU,5911.945343017578,683.748722076416,1905.9767723083496,1461.2648487091064,36.925554275512695,3404.2537212371826
2200000,2200000,lightgbm,ONNXCPU,5956.280469894409,688.6246204376221,3154.8705101013184,1929.1324615478516,37.28842735290527,5121.38032913208
1,1,lightgbm,LightGBM,5924.227476119995,690.462589263916,384996.4711666107,1551.9309043884277,13.015031814575195,386561.4969730377
10,10,lightgbm,LightGBM,6002.346038818359,700.3204822540283,37534.838914871216,1521.5294361114502,13.014554977416992,39069.461822509766
100,100,lightgbm,LightGBM,5975.073337554932,693.4435367584229,4647.473573684692,1543.1365966796875,13.014554977416992,6203.695058822632
1000,1000,lightgbm,LightGBM,5986.9890213012695,694.5052146911621,1198.5905170440674,1471.1346626281738,12.928009033203125,2682.734727859497
10000,10000,lightgbm,LightGBM,5976.17769241333,687.0579719543457,802.4482727050781,1649.7199535369873,12.944459915161133,2465.1904106140137
100000,100000,lightgbm,LightGBM,5966.624736785889,692.6946640014648,680.3567409515381,1505.249261856079,13.02194595336914,2198.7130641937256
2200000,2200000,lightgbm,LightGBM,5897.8111743927,684.2234134674072,678.3227920532227,1525.1376628875732,12.879133224487305,2216.419219970703
1,1,lightgbm,Lleaves,5925.171136856079,687.1640682220459,589572.557926178,1521.6429233551025,10758.765935897827,601853.036403656
10,10,lightgbm,Lleaves,6023.307323455811,680.0000667572021,150617.516040802,1481.9176197052002,11089.148759841919,163188.6510848999
100,100,lightgbm,Lleaves,5967.783451080322,673.0310916900635,27074.08308982849,1544.449806213379,10777.233362197876,39395.83349227905
1000,1000,lightgbm,Lleaves,5918.094158172607,678.0071258544922,3033.1709384918213,1597.8469848632812,10675.793886184692,15306.891202926636
10000,10000,lightgbm,Lleaves,5953.05871963501,679.6548366546631,692.3880577087402,1666.6467189788818,10832.979440689087,13192.083358764648
100000,100000,lightgbm,Lleaves,5933.717250823975,667.6774024963379,775.9485244750977,1634.242057800293,11106.20403289795,13516.477584838867
2200000,2200000,lightgbm,Lleaves,5886.316299438477,679.7575950622559,709.3386650085449,1527.850866317749,10906.595706939697,13143.869638442993
